"","rep","media","estradiol","strain","ura3","post","pre"
"1",1,"SC+5FOA",0,"CMY138","ura3",81,4.815
"2",1,"SC+5FOA",0,"CMY97","Z4EVpr:Ub-I-Ek-URA3",78,6.4
"3",1,"SC+5FOA",0,"PMY1639","URA3",0.1805,6.05
"4",1,"SC+5FOA",2.44e-05,"CMY97","Z4EVpr:Ub-I-Ek-URA3",76,8.25
"5",1,"SC+5FOA",4.88e-05,"CMY97","Z4EVpr:Ub-I-Ek-URA3",77,5.1
"6",1,"SC+5FOA",9.77e-05,"CMY97","Z4EVpr:Ub-I-Ek-URA3",76,5.7
"7",1,"SC+5FOA",0.0001953,"CMY97","Z4EVpr:Ub-I-Ek-URA3",81,5.8
"8",1,"SC+5FOA",0.0003906,"CMY97","Z4EVpr:Ub-I-Ek-URA3",64,6.3
"9",1,"SC+5FOA",0.0007812,"CMY97","Z4EVpr:Ub-I-Ek-URA3",38.3,5.55
"10",1,"SC+5FOA",0.0015625,"CMY97","Z4EVpr:Ub-I-Ek-URA3",13.7,5.05
"11",1,"SC+5FOA",0.003125,"CMY97","Z4EVpr:Ub-I-Ek-URA3",4.335,6.15
"12",1,"SC+5FOA",0.00625,"CMY97","Z4EVpr:Ub-I-Ek-URA3",1.2,5.4
"13",1,"SC+5FOA",0.0125,"CMY97","Z4EVpr:Ub-I-Ek-URA3",0.392,5.95
"14",1,"SC+5FOA",0.025,"CMY97","Z4EVpr:Ub-I-Ek-URA3",0.26,6
"15",1,"SC+5FOA",0.05,"CMY97","Z4EVpr:Ub-I-Ek-URA3",0.2135,5.05
"16",1,"SC+5FOA",0.1,"CMY97","Z4EVpr:Ub-I-Ek-URA3",0.1985,5.15
"17",1,"SC-ura",0,"CMY138","ura3",0.1255,5.75
"18",1,"SC-ura",0,"CMY97","Z4EVpr:Ub-I-Ek-URA3",0.1885,6.55
"19",1,"SC-ura",0,"PMY1639","URA3",111,6.85
"20",1,"SC-ura",2.44e-05,"CMY97","Z4EVpr:Ub-I-Ek-URA3",0.1445,5.5
"21",1,"SC-ura",4.88e-05,"CMY97","Z4EVpr:Ub-I-Ek-URA3",0.1475,5.4
"22",1,"SC-ura",9.77e-05,"CMY97","Z4EVpr:Ub-I-Ek-URA3",0.1755,6.25
"23",1,"SC-ura",0.0001953,"CMY97","Z4EVpr:Ub-I-Ek-URA3",0.1675,6.15
"24",1,"SC-ura",0.0003906,"CMY97","Z4EVpr:Ub-I-Ek-URA3",0.209,5.2
"25",1,"SC-ura",0.0007812,"CMY97","Z4EVpr:Ub-I-Ek-URA3",0.232,4.965
"26",1,"SC-ura",0.0015625,"CMY97","Z4EVpr:Ub-I-Ek-URA3",1.025,4.515
