"","replicate","epoch","pool","treatment","name","percent_cells","Count.mL","Count"
"182","rep1",2,"plastic vs P1","ura","cells",97.79,759000,75813
"183","rep1",2,"red vs green","FOA","cells",98.84,370000,37008
"184","rep1",2,"plastic vs P2","FOA","cells",98.9,411000,41028
"185","rep1",2,"plastic vs P1","FOA","cells",99,376000,37612
"186","rep1",2,"plastic vs P2","ura","cells",98.62,432000,43221
"187","rep1",2,"red vs green","ura","cells",98.83,419000,41888
"188","rep1",2,"red vs green","ura","unstained",3.26,13600,1364
"189","rep1",2,"plastic vs P2","ura","unstained",0.01,40,4
"190","rep1",2,"plastic vs P1","ura","unstained",29.56,224000,22412
"191","rep1",2,"plastic vs P1","FOA","unstained",0.02,60,6
"192","rep1",2,"red vs green","FOA","unstained",5.42,20100,2006
"193","rep1",2,"plastic vs P2","FOA","unstained",14.16,58200,5809
"194","rep1",2,"red vs green","ura","GFP",45.76,192000,19170
"195","rep1",2,"red vs green","FOA","GFP",52.48,194000,19420
"196","rep1",2,"plastic vs P2","ura","GFP",0,9.99,1
"197","rep1",2,"plastic vs P2","FOA","GFP",82.08,337000,33674
"198","rep1",2,"plastic vs P1","ura","GFP",55.42,421000,42013
"199","rep1",2,"plastic vs P1","FOA","GFP",0,0,0
"200","rep1",2,"plastic vs P2","ura","mCherry",99.98,432000,43214
"201","rep1",2,"plastic vs P1","ura","mCherry",14.93,113000,11320
"202","rep1",2,"plastic vs P1","FOA","mCherry",99.98,376000,37605
"203","rep1",2,"red vs green","FOA","mCherry",41.98,156000,15537
"204","rep1",2,"plastic vs P2","FOA","mCherry",3.74,15400,1536
"205","rep1",2,"red vs green","ura","mCherry",50.84,213000,21295
"206","rep1",2,"plastic vs P2","ura","mCherry/GFP",0,20,2
"207","rep1",2,"red vs green","ura","mCherry/GFP",0.14,590,59
"208","rep1",2,"plastic vs P1","FOA","mCherry/GFP",0,9.99,1
"209","rep1",2,"red vs green","FOA","mCherry/GFP",0.12,450,45
"210","rep1",2,"plastic vs P2","FOA","mCherry/GFP",0.02,90.1,9
"211","rep1",2,"plastic vs P1","ura","mCherry/GFP",0.09,681,68
"212","rep1",3,"plastic vs P1","ura","cells",98.87,375000,36769
"213","rep1",3,"red vs green","FOA","cells",98.5,418000,41773
"214","rep1",3,"plastic vs P2","FOA","cells",98.64,345000,34497
"215","rep1",3,"plastic vs P1","FOA","cells",98.31,450000,44904
"216","rep1",3,"plastic vs P2","ura","cells",98.97,393000,39262
"217","rep1",3,"red vs green","ura","cells",98.58,426000,42550
"218","rep1",3,"red vs green","ura","unstained",7.48,31900,3182
"219","rep1",3,"plastic vs P2","ura","unstained",0.1,380,38
"220","rep1",3,"plastic vs P1","ura","unstained",0.02,81.6,8
"221","rep1",3,"plastic vs P1","FOA","unstained",0.04,160,16
"222","rep1",3,"red vs green","FOA","unstained",10.95,45800,4575
"223","rep1",3,"plastic vs P2","FOA","unstained",0.03,89.9,9
"224","rep1",3,"red vs green","ura","GFP",39.05,166000,16616
"225","rep1",3,"red vs green","FOA","GFP",46.84,196000,19568
"226","rep1",3,"plastic vs P2","ura","GFP",0.82,3230,323
"227","rep1",3,"plastic vs P2","FOA","GFP",0.02,69.9,7
"228","rep1",3,"plastic vs P1","ura","GFP",0,0,0
"229","rep1",3,"plastic vs P1","FOA","GFP",0,0,0
"230","rep1",3,"plastic vs P2","ura","mCherry",99.07,389000,38895
"231","rep1",3,"plastic vs P1","ura","mCherry",99.98,375000,36761
"232","rep1",3,"plastic vs P1","FOA","mCherry",99.96,449000,44887
"233","rep1",3,"red vs green","FOA","mCherry",41.98,176000,17538
"234","rep1",3,"plastic vs P2","FOA","mCherry",99.95,345000,34480
"235","rep1",3,"red vs green","ura","mCherry",53.28,227000,22671
"236","rep1",3,"plastic vs P2","ura","mCherry/GFP",0.02,60.1,6
"237","rep1",3,"red vs green","ura","mCherry/GFP",0.19,811,81
"238","rep1",3,"plastic vs P1","FOA","mCherry/GFP",0,10,1
"239","rep1",3,"red vs green","FOA","mCherry/GFP",0.22,921,92
"240","rep1",3,"plastic vs P2","FOA","mCherry/GFP",0,9.99,1
"241","rep1",3,"plastic vs P1","ura","mCherry/GFP",0,0,0
"242","rep1",4,"plastic vs P1","FOA","cells",98.86,334000,33329
"243","rep1",4,"red vs green","ura","cells",98.64,369000,36875
"244","rep1",4,"plastic vs P2","ura","cells",98.55,397000,39676
"245","rep1",4,"plastic vs P1","ura","cells",98.25,487000,48693
"246","rep1",4,"plastic vs P2","FOA","cells",98.91,303000,30292
"247","rep1",4,"red vs green","FOA","cells",98.7,352000,35168
"248","rep1",4,"red vs green","FOA","unstained",6.28,22100,2210
"249","rep1",4,"plastic vs P2","FOA","unstained",0.04,130,13
"250","rep1",4,"plastic vs P1","FOA","unstained",0.04,120,12
"251","rep1",4,"plastic vs P1","ura","unstained",0.03,160,16
"252","rep1",4,"red vs green","ura","unstained",13.93,51400,5137
"253","rep1",4,"plastic vs P2","ura","unstained",0.03,120,12
"254","rep1",4,"red vs green","FOA","GFP",48.1,169000,16916
"255","rep1",4,"red vs green","ura","GFP",31.79,117000,11721
"256","rep1",4,"plastic vs P2","FOA","GFP",0.12,370,37
"257","rep1",4,"plastic vs P2","ura","GFP",0,10,1
"258","rep1",4,"plastic vs P1","FOA","GFP",0,0,0
"259","rep1",4,"plastic vs P1","ura","GFP",0,0,0
"260","rep1",4,"plastic vs P2","FOA","mCherry",99.83,303000,30241
"261","rep1",4,"plastic vs P1","FOA","mCherry",99.96,334000,33316
"262","rep1",4,"plastic vs P1","ura","mCherry",99.97,487000,48677
"263","rep1",4,"red vs green","ura","mCherry",54.09,2e+05,19944
"264","rep1",4,"plastic vs P2","ura","mCherry",99.97,397000,39663
"265","rep1",4,"red vs green","FOA","mCherry",45.36,160000,15953
"266","rep1",4,"plastic vs P2","FOA","mCherry/GFP",0,10,1
"267","rep1",4,"red vs green","FOA","mCherry/GFP",0.25,891,89
"268","rep1",4,"plastic vs P1","ura","mCherry/GFP",0,0,0
"269","rep1",4,"red vs green","ura","mCherry/GFP",0.2,731,73
"270","rep1",4,"plastic vs P2","ura","mCherry/GFP",0,0,0
"271","rep1",4,"plastic vs P1","FOA","mCherry/GFP",0,10,1
"287","rep2",2,"plastic vs P1","FOA","cells",98.67,383000,38273
"288","rep2",2,"red vs green","ura","cells",98.52,489000,48969
"289","rep2",2,"plastic vs P2","ura","cells",98.81,379000,37886
"290","rep2",2,"plastic vs P1","ura","cells",96.89,825000,82372
"291","rep2",2,"plastic vs P2","FOA","cells",98.75,457000,45604
"292","rep2",2,"red vs green","FOA","cells",98.78,374000,37397
"293","rep2",2,"red vs green","FOA","unstained",4.64,17300,1734
"294","rep2",2,"plastic vs P2","FOA","unstained",21.51,98200,9810
"295","rep2",2,"plastic vs P1","FOA","unstained",0.02,60.1,6
"296","rep2",2,"plastic vs P1","ura","unstained",40.87,337000,33665
"297","rep2",2,"red vs green","ura","unstained",8.37,41000,4100
"298","rep2",2,"plastic vs P2","ura","unstained",0.01,30,3
"299","rep2",2,"red vs green","FOA","GFP",47.65,178000,17820
"300","rep2",2,"red vs green","ura","GFP",44.12,216000,21606
"301","rep2",2,"plastic vs P2","FOA","GFP",74.12,338000,33801
"302","rep2",2,"plastic vs P2","ura","GFP",0,10,1
"303","rep2",2,"plastic vs P1","FOA","GFP",0,0,0
"304","rep2",2,"plastic vs P1","ura","GFP",48.75,402000,40158
"305","rep2",2,"plastic vs P2","FOA","mCherry",4.28,19500,1951
"306","rep2",2,"plastic vs P1","FOA","mCherry",99.98,383000,38267
"307","rep2",2,"plastic vs P1","ura","mCherry",10.31,85000,8496
"308","rep2",2,"red vs green","ura","mCherry",47.36,232000,23192
"309","rep2",2,"plastic vs P2","ura","mCherry",99.99,379000,37881
"310","rep2",2,"red vs green","FOA","mCherry",47.51,178000,17769
"311","rep2",2,"plastic vs P2","FOA","mCherry/GFP",0.09,420,42
"312","rep2",2,"red vs green","FOA","mCherry/GFP",0.2,739,74
"313","rep2",2,"plastic vs P1","ura","mCherry/GFP",0.06,531,53
"314","rep2",2,"red vs green","ura","mCherry/GFP",0.14,709,71
"315","rep2",2,"plastic vs P2","ura","mCherry/GFP",0,10,1
"316","rep2",2,"plastic vs P1","FOA","mCherry/GFP",0,0,0
