"","row","col","strain","ura3","estradiol","value"
"1","A",1,"PMY1639","URA3",1,1.224
"2","A",10,"PMY1639","URA3",5.08e-05,1.242
"3","A",11,"PMY1639","URA3",1.69e-05,1.23
"4","A",12,"PMY1639","URA3",0,1.224
"5","A",2,"PMY1639","URA3",0.333333333,1.233
"6","A",3,"PMY1639","URA3",0.111111111,1.254
"7","A",4,"PMY1639","URA3",0.037037037,1.246
"8","A",5,"PMY1639","URA3",0.012345679,1.25
"9","A",6,"PMY1639","URA3",0.004115226,1.248
"10","A",7,"PMY1639","URA3",0.001371742,1.234
"11","A",8,"PMY1639","URA3",0.000457247,1.248
"12","A",9,"PMY1639","URA3",0.000152416,1.24
"13","B",1,"CMY19","ura3",1,0.037
"14","B",10,"CMY19","ura3",5.08e-05,0.048
"15","B",11,"CMY19","ura3",1.69e-05,0.055
"16","B",12,"CMY19","ura3",0,0.048
"17","B",2,"CMY19","ura3",0.333333333,0.05
"18","B",3,"CMY19","ura3",0.111111111,0.049
"19","B",4,"CMY19","ura3",0.037037037,0.05
"20","B",5,"CMY19","ura3",0.012345679,0.05
"21","B",6,"CMY19","ura3",0.004115226,0.05
"22","B",7,"CMY19","ura3",0.001371742,0.049
"23","B",8,"CMY19","ura3",0.000457247,0.05
"24","B",9,"CMY19","ura3",0.000152416,0.051
"25","C",1,"CMY47","Z4EVpr:URA3",1,1.211
"26","C",10,"CMY47","Z4EVpr:URA3",5.08e-05,0.117
"27","C",11,"CMY47","Z4EVpr:URA3",1.69e-05,0.08
"28","C",12,"CMY47","Z4EVpr:URA3",0,0.063
"29","C",2,"CMY47","Z4EVpr:URA3",0.333333333,1.243
"30","C",3,"CMY47","Z4EVpr:URA3",0.111111111,1.253
"31","C",4,"CMY47","Z4EVpr:URA3",0.037037037,1.247
"32","C",5,"CMY47","Z4EVpr:URA3",0.012345679,1.248
"33","C",6,"CMY47","Z4EVpr:URA3",0.004115226,1.247
"34","C",7,"CMY47","Z4EVpr:URA3",0.001371742,1.231
"35","C",8,"CMY47","Z4EVpr:URA3",0.000457247,1.155
"36","C",9,"CMY47","Z4EVpr:URA3",0.000152416,0.33
"37","D",1,"CMY92","Z4EVpr:Ub-R-URA3",1,0.037
"38","D",10,"CMY92","Z4EVpr:Ub-R-URA3",5.08e-05,0.051
"39","D",11,"CMY92","Z4EVpr:Ub-R-URA3",1.69e-05,0.052
"40","D",12,"CMY92","Z4EVpr:Ub-R-URA3",0,0.05
"41","D",2,"CMY92","Z4EVpr:Ub-R-URA3",0.333333333,0.051
"42","D",3,"CMY92","Z4EVpr:Ub-R-URA3",0.111111111,0.05
"43","D",4,"CMY92","Z4EVpr:Ub-R-URA3",0.037037037,0.052
"44","D",5,"CMY92","Z4EVpr:Ub-R-URA3",0.012345679,0.051
