file,strain,media,replicate
pdr5snq2_24hr002_cell18_cell28.tif,121,foa,1
pdr5snq2_24hr002_cell20_cell32.tif,136,foa,1
pdr5snq2_24hr002_cell21_cell33.tif,111,foa,1
pdr5snq2_24hr002_cell22_cell34.tif,121,ura,1
pdr5snq2_24hr002_cell23_cell35.tif,136,ura,1
pdr5snq2_24hr002_cell24_cell36.tif,111,ura,1
pdr5snq2_24hr002_cell25_cell37.tif,115,foa,1
pdr5snq2_24hr002_cell26_cell38.tif,115,ura,1
24hr001_cell1_cell9.tif,136,foa,3
24hr001_cell2_cell10.tif,121,foa,3
24hr001_cell3_cell12.tif,115,foa,3
24hr001_cell4_cell13.tif,111,foa,3
24hr001_cell5_cell17.tif,136,ura,3
24hr001_cell6_cell14.tif,121,ura,3
24hr001_cell7_cell15.tif,115,ura,3
24hr001_cell8_cell16.tif,111,ura,3
24hr005_cell1_cell2.tif,121,foa,2
24hr005_cell2_cell3.tif,121,ura,2
24hr005_cell3_cell4.tif,115,foa,2
24hr005_cell4_cell1.tif,115,ura,2
