Path,Full path,WID,%-T,%-#,Count,Count/mL,Count/_L,file
cm2016-01-06.033,cm2016-01-06.033,A11,100,---,1104,4.45E+05,445.16,cm2016-01-06.033
P1,cm2016-01-06.033\P1,A11,0,0,0,0,0,cm2016-01-06.033
P1\P2,cm2016-01-06.033\P1\P2,A11,0,---,0,0,0,P1\P2
P1\P2\unstained,cm2016-01-06.033\P1\P2\unstained,A11,0,---,0,0,0,P1\P2\unstained
P1\P2\mCherry,cm2016-01-06.033\P1\P2\mCherry,A11,0,---,0,0,0,P1\P2\mCherry
P1\P2\double-stained,cm2016-01-06.033\P1\P2\double-stained,A11,0,---,0,0,0,P1\P2\double-stained
P1\P2\GFP,cm2016-01-06.033\P1\P2\GFP,A11,0,---,0,0,0,P1\P2\GFP
P1\P2\LL4,cm2016-01-06.033\P1\P2\LL4,A11,0,---,0,0,0,P1\P2\LL4
P1\P2\UL4,cm2016-01-06.033\P1\P2\UL4,A11,0,---,0,0,0,P1\P2\UL4
P1\P2\UR4,cm2016-01-06.033\P1\P2\UR4,A11,0,---,0,0,0,P1\P2\UR4
P1\P2\LR4,cm2016-01-06.033\P1\P2\LR4,A11,0,---,0,0,0,P1\P2\LR4
P1\P2\LL5,cm2016-01-06.033\P1\P2\LL5,A11,0,---,0,0,0,P1\P2\LL5
P1\P2\UL5,cm2016-01-06.033\P1\P2\UL5,A11,0,---,0,0,0,P1\P2\UL5
P1\P2\UR5,cm2016-01-06.033\P1\P2\UR5,A11,0,---,0,0,0,P1\P2\UR5
P1\P2\LR5,cm2016-01-06.033\P1\P2\LR5,A11,0,---,0,0,0,P1\P2\LR5
cm2016-01-06.032,cm2016-01-06.032,C10,100,---,8118,2.10E+05,210.29,cm2016-01-06.032
P1,cm2016-01-06.032\P1,C10,55.64,55.64,4517,1.17E+05,117.01,cm2016-01-06.032
P1\P2,cm2016-01-06.032\P1\P2,C10,54.94,98.74,4460,1.16E+05,115.53,cm2016-01-06.032
P1\P2\unstained,cm2016-01-06.032\P1\P2\unstained,C10,54.89,99.91,4456,1.15E+05,115.43,cm2016-01-06.032
P1\P2\mCherry,cm2016-01-06.032\P1\P2\mCherry,C10,0.05,0.09,4,104,0.1,cm2016-01-06.032
P1\P2\double-stained,cm2016-01-06.032\P1\P2\double-stained,C10,0,0,0,0,0,cm2016-01-06.032
P1\P2\GFP,cm2016-01-06.032\P1\P2\GFP,C10,0,0,0,0,0,cm2016-01-06.032
P1\P2\LL4,cm2016-01-06.032\P1\P2\LL4,C10,54.88,99.89,4455,1.15E+05,115.4,cm2016-01-06.032
P1\P2\UL4,cm2016-01-06.032\P1\P2\UL4,C10,0,0,0,0,0,cm2016-01-06.032
P1\P2\UR4,cm2016-01-06.032\P1\P2\UR4,C10,0,0,0,0,0,cm2016-01-06.032
P1\P2\LR4,cm2016-01-06.032\P1\P2\LR4,C10,0.06,0.11,5,130,0.13,cm2016-01-06.032
P1\P2\LL5,cm2016-01-06.032\P1\P2\LL5,C10,51.31,93.39,4165,1.08E+05,107.89,cm2016-01-06.032
P1\P2\UL5,cm2016-01-06.032\P1\P2\UL5,C10,3.1,5.65,252,6.53E+03,6.53,cm2016-01-06.032
P1\P2\UR5,cm2016-01-06.032\P1\P2\UR5,C10,0.43,0.78,35,907,0.91,cm2016-01-06.032
P1\P2\LR5,cm2016-01-06.032\P1\P2\LR5,C10,0.1,0.18,8,207,0.21,cm2016-01-06.032
cm2016-01-06.031,cm2016-01-06.031,A10,100,---,4951,1.24E+05,124.23,cm2016-01-06.031
P1,cm2016-01-06.031\P1,A10,99.86,99.86,4944,1.24E+05,124.05,cm2016-01-06.031
P1\P2,cm2016-01-06.031\P1\P2,A10,99.23,99.37,4913,1.23E+05,123.27,cm2016-01-06.031
P1\P2\unstained,cm2016-01-06.031\P1\P2\unstained,A10,99.15,99.92,4909,1.23E+05,123.17,cm2016-01-06.031
P1\P2\mCherry,cm2016-01-06.031\P1\P2\mCherry,A10,0.08,0.08,4,100,0.1,cm2016-01-06.031
P1\P2\double-stained,cm2016-01-06.031\P1\P2\double-stained,A10,0,0,0,0,0,cm2016-01-06.031
P1\P2\GFP,cm2016-01-06.031\P1\P2\GFP,A10,0,0,0,0,0,cm2016-01-06.031
P1\P2\LL4,cm2016-01-06.031\P1\P2\LL4,A10,99.23,100,4913,1.23E+05,123.27,cm2016-01-06.031
P1\P2\UL4,cm2016-01-06.031\P1\P2\UL4,A10,0,0,0,0,0,cm2016-01-06.031
P1\P2\UR4,cm2016-01-06.031\P1\P2\UR4,A10,0,0,0,0,0,cm2016-01-06.031
P1\P2\LR4,cm2016-01-06.031\P1\P2\LR4,A10,0,0,0,0,0,cm2016-01-06.031
P1\P2\LL5,cm2016-01-06.031\P1\P2\LL5,A10,98.57,99.33,4880,1.22E+05,122.45,cm2016-01-06.031
P1\P2\UL5,cm2016-01-06.031\P1\P2\UL5,A10,0.38,0.39,19,477,0.48,cm2016-01-06.031
P1\P2\UR5,cm2016-01-06.031\P1\P2\UR5,A10,0.1,0.1,5,125,0.13,cm2016-01-06.031
P1\P2\LR5,cm2016-01-06.031\P1\P2\LR5,A10,0.18,0.18,9,226,0.23,cm2016-01-06.031
cm2016-01-06.030,cm2016-01-06.030,C9,100,---,4881,1.28E+05,127.61,cm2016-01-06.030
P1,cm2016-01-06.030\P1,C9,99.8,99.8,4871,1.27E+05,127.35,cm2016-01-06.030
P1\P2,cm2016-01-06.030\P1\P2,C9,99.06,99.26,4835,1.26E+05,126.41,cm2016-01-06.030
P1\P2\unstained,cm2016-01-06.030\P1\P2\unstained,C9,98.89,99.83,4827,1.26E+05,126.2,cm2016-01-06.030
P1\P2\mCherry,cm2016-01-06.030\P1\P2\mCherry,C9,0.14,0.14,7,183,0.18,cm2016-01-06.030
P1\P2\double-stained,cm2016-01-06.030\P1\P2\double-stained,C9,0.02,0.02,1,26.1,0.03,cm2016-01-06.030
P1\P2\GFP,cm2016-01-06.030\P1\P2\GFP,C9,0,0,0,0,0,cm2016-01-06.030
P1\P2\LL4,cm2016-01-06.030\P1\P2\LL4,C9,99.04,99.98,4834,1.26E+05,126.38,cm2016-01-06.030
P1\P2\UL4,cm2016-01-06.030\P1\P2\UL4,C9,0,0,0,0,0,cm2016-01-06.030
P1\P2\UR4,cm2016-01-06.030\P1\P2\UR4,C9,0,0,0,0,0,cm2016-01-06.030
P1\P2\LR4,cm2016-01-06.030\P1\P2\LR4,C9,0.02,0.02,1,26.1,0.03,cm2016-01-06.030
P1\P2\LL5,cm2016-01-06.030\P1\P2\LL5,C9,94.67,95.57,4621,1.21E+05,120.81,cm2016-01-06.030
P1\P2\UL5,cm2016-01-06.030\P1\P2\UL5,C9,3.83,3.87,187,4.89E+03,4.89,cm2016-01-06.030
P1\P2\UR5,cm2016-01-06.030\P1\P2\UR5,C9,0.45,0.46,22,575,0.58,cm2016-01-06.030
P1\P2\LR5,cm2016-01-06.030\P1\P2\LR5,C9,0.1,0.1,5,131,0.13,cm2016-01-06.030
cm2016-01-06.029,cm2016-01-06.029,A9,100,---,4653,1.17E+05,117.24,cm2016-01-06.029
P1,cm2016-01-06.029\P1,A9,89.04,89.04,4143,1.04E+05,104.39,cm2016-01-06.029
P1\P2,cm2016-01-06.029\P1\P2,A9,88.42,99.3,4114,1.04E+05,103.66,cm2016-01-06.029
P1\P2\unstained,cm2016-01-06.029\P1\P2\unstained,A9,88.37,99.95,4112,1.04E+05,103.61,cm2016-01-06.029
P1\P2\mCherry,cm2016-01-06.029\P1\P2\mCherry,A9,0.04,0.05,2,50.4,0.05,cm2016-01-06.029
P1\P2\double-stained,cm2016-01-06.029\P1\P2\double-stained,A9,0,0,0,0,0,cm2016-01-06.029
P1\P2\GFP,cm2016-01-06.029\P1\P2\GFP,A9,0,0,0,0,0,cm2016-01-06.029
P1\P2\LL4,cm2016-01-06.029\P1\P2\LL4,A9,88.42,100,4114,1.04E+05,103.66,cm2016-01-06.029
P1\P2\UL4,cm2016-01-06.029\P1\P2\UL4,A9,0,0,0,0,0,cm2016-01-06.029
P1\P2\UR4,cm2016-01-06.029\P1\P2\UR4,A9,0,0,0,0,0,cm2016-01-06.029
P1\P2\LR4,cm2016-01-06.029\P1\P2\LR4,A9,0,0,0,0,0,cm2016-01-06.029
P1\P2\LL5,cm2016-01-06.029\P1\P2\LL5,A9,87.69,99.17,4080,1.03E+05,102.8,cm2016-01-06.029
P1\P2\UL5,cm2016-01-06.029\P1\P2\UL5,A9,0.56,0.63,26,655,0.66,cm2016-01-06.029
P1\P2\UR5,cm2016-01-06.029\P1\P2\UR5,A9,0.09,0.1,4,101,0.1,cm2016-01-06.029
P1\P2\LR5,cm2016-01-06.029\P1\P2\LR5,A9,0.09,0.1,4,101,0.1,cm2016-01-06.029
cm2016-01-06.028,cm2016-01-06.028,C8,100,---,4299,1.12E+05,112.39,cm2016-01-06.028
P1,cm2016-01-06.028\P1,C8,99.84,99.84,4292,1.12E+05,112.21,cm2016-01-06.028
P1\P2,cm2016-01-06.028\P1\P2,C8,99.07,99.23,4259,1.11E+05,111.35,cm2016-01-06.028
P1\P2\unstained,cm2016-01-06.028\P1\P2\unstained,C8,98.93,99.86,4253,1.11E+05,111.19,cm2016-01-06.028
P1\P2\mCherry,cm2016-01-06.028\P1\P2\mCherry,C8,0.14,0.14,6,157,0.16,cm2016-01-06.028
P1\P2\double-stained,cm2016-01-06.028\P1\P2\double-stained,C8,0,0,0,0,0,cm2016-01-06.028
P1\P2\GFP,cm2016-01-06.028\P1\P2\GFP,C8,0,0,0,0,0,cm2016-01-06.028
P1\P2\LL4,cm2016-01-06.028\P1\P2\LL4,C8,99.07,100,4259,1.11E+05,111.35,cm2016-01-06.028
P1\P2\UL4,cm2016-01-06.028\P1\P2\UL4,C8,0,0,0,0,0,cm2016-01-06.028
P1\P2\UR4,cm2016-01-06.028\P1\P2\UR4,C8,0,0,0,0,0,cm2016-01-06.028
P1\P2\LR4,cm2016-01-06.028\P1\P2\LR4,C8,0,0,0,0,0,cm2016-01-06.028
P1\P2\LL5,cm2016-01-06.028\P1\P2\LL5,C8,95.02,95.91,4085,1.07E+05,106.8,cm2016-01-06.028
P1\P2\UL5,cm2016-01-06.028\P1\P2\UL5,C8,3.54,3.57,152,3.97E+03,3.97,cm2016-01-06.028
P1\P2\UR5,cm2016-01-06.028\P1\P2\UR5,C8,0.42,0.42,18,471,0.47,cm2016-01-06.028
P1\P2\LR5,cm2016-01-06.028\P1\P2\LR5,C8,0.09,0.09,4,105,0.1,cm2016-01-06.028
cm2016-01-06.027,cm2016-01-06.027,A8,100,---,3923,1.02E+05,101.62,cm2016-01-06.027
P1,cm2016-01-06.027\P1,A8,98.22,98.22,3853,9.98E+04,99.81,cm2016-01-06.027
P1\P2,cm2016-01-06.027\P1\P2,A8,97.71,99.48,3833,9.93E+04,99.29,cm2016-01-06.027
P1\P2\unstained,cm2016-01-06.027\P1\P2\unstained,A8,97.58,99.87,3828,9.92E+04,99.16,cm2016-01-06.027
P1\P2\mCherry,cm2016-01-06.027\P1\P2\mCherry,A8,0.1,0.1,4,104,0.1,cm2016-01-06.027
P1\P2\double-stained,cm2016-01-06.027\P1\P2\double-stained,A8,0.03,0.03,1,25.9,0.03,cm2016-01-06.027
P1\P2\GFP,cm2016-01-06.027\P1\P2\GFP,A8,0,0,0,0,0,cm2016-01-06.027
P1\P2\LL4,cm2016-01-06.027\P1\P2\LL4,A8,97.6,99.9,3829,9.92E+04,99.19,cm2016-01-06.027
P1\P2\UL4,cm2016-01-06.027\P1\P2\UL4,A8,0,0,0,0,0,cm2016-01-06.027
P1\P2\UR4,cm2016-01-06.027\P1\P2\UR4,A8,0,0,0,0,0,cm2016-01-06.027
P1\P2\LR4,cm2016-01-06.027\P1\P2\LR4,A8,0.1,0.1,4,104,0.1,cm2016-01-06.027
P1\P2\LL5,cm2016-01-06.027\P1\P2\LL5,A8,96.61,98.88,3790,9.82E+04,98.18,cm2016-01-06.027
