Path,Full path,WID,%-T,%-#,Count,Count/mL,Count/_L,file
live (cm2016-01-07.032),live (cm2016-01-07.032),G10,100,---,20000,1.65E+06,"1,649.48",live (cm2016-01-07.032)
P1,live (cm2016-01-07.032)\P1,G10,99.45,99.45,19891,1.64E+06,"1,640.49",live (cm2016-01-07.032)
P1\P2,live (cm2016-01-07.032)\P1\P2,G10,98.16,98.69,19631,1.62E+06,"1,619.05",live (cm2016-01-07.032)
P1\P2\LL3,live (cm2016-01-07.032)\P1\P2\LL3,G10,98.11,99.95,19622,1.62E+06,"1,618.31",live (cm2016-01-07.032)
P1\P2\UL3,live (cm2016-01-07.032)\P1\P2\UL3,G10,0.03,0.03,5,412,0.41,live (cm2016-01-07.032)
P1\P2\UR3,live (cm2016-01-07.032)\P1\P2\UR3,G10,0.01,0.01,2,165,0.16,live (cm2016-01-07.032)
P1\P2\LR3,live (cm2016-01-07.032)\P1\P2\LR3,G10,0.01,0.01,2,165,0.16,live (cm2016-01-07.032)
P1\P2\LL4,live (cm2016-01-07.032)\P1\P2\LL4,G10,98.16,100,19631,1.62E+06,"1,619.05",live (cm2016-01-07.032)
P1\P2\UL4,live (cm2016-01-07.032)\P1\P2\UL4,G10,0,0,0,0,0,live (cm2016-01-07.032)
P1\P2\UR4,live (cm2016-01-07.032)\P1\P2\UR4,G10,0,0,0,0,0,live (cm2016-01-07.032)
P1\P2\LR4,live (cm2016-01-07.032)\P1\P2\LR4,G10,0,0,0,0,0,live (cm2016-01-07.032)
P1\P2\LL5,live (cm2016-01-07.032)\P1\P2\LL5,G10,97.58,99.41,19516,1.61E+06,"1,609.57",live (cm2016-01-07.032)
P1\P2\UL5,live (cm2016-01-07.032)\P1\P2\UL5,G10,0.01,0.02,3,247,0.25,live (cm2016-01-07.032)
P1\P2\UR5,live (cm2016-01-07.032)\P1\P2\UR5,G10,0.01,0.01,2,165,0.16,live (cm2016-01-07.032)
P1\P2\LR5,live (cm2016-01-07.032)\P1\P2\LR5,G10,0.55,0.56,110,9.07E+03,9.07,live (cm2016-01-07.032)
cm2016-01-07.031,cm2016-01-07.031,E10,100,---,339,3.77E+03,3.77,cm2016-01-07.031
P1,cm2016-01-07.031\P1,E10,89.97,89.97,305,3.39E+03,3.39,cm2016-01-07.031
P1\P2,cm2016-01-07.031\P1\P2,E10,88.79,98.69,301,3.35E+03,3.35,cm2016-01-07.031
P1\P2\LL3,cm2016-01-07.031\P1\P2\LL3,E10,88.79,100,301,3.35E+03,3.35,cm2016-01-07.031
P1\P2\UL3,cm2016-01-07.031\P1\P2\UL3,E10,0,0,0,0,0,cm2016-01-07.031
P1\P2\UR3,cm2016-01-07.031\P1\P2\UR3,E10,0,0,0,0,0,cm2016-01-07.031
P1\P2\LR3,cm2016-01-07.031\P1\P2\LR3,E10,0,0,0,0,0,cm2016-01-07.031
P1\P2\LL4,cm2016-01-07.031\P1\P2\LL4,E10,88.79,100,301,3.35E+03,3.35,cm2016-01-07.031
P1\P2\UL4,cm2016-01-07.031\P1\P2\UL4,E10,0,0,0,0,0,cm2016-01-07.031
P1\P2\UR4,cm2016-01-07.031\P1\P2\UR4,E10,0,0,0,0,0,cm2016-01-07.031
P1\P2\LR4,cm2016-01-07.031\P1\P2\LR4,E10,0,0,0,0,0,cm2016-01-07.031
P1\P2\LL5,cm2016-01-07.031\P1\P2\LL5,E10,88.79,100,301,3.35E+03,3.35,cm2016-01-07.031
P1\P2\UL5,cm2016-01-07.031\P1\P2\UL5,E10,0,0,0,0,0,cm2016-01-07.031
P1\P2\UR5,cm2016-01-07.031\P1\P2\UR5,E10,0,0,0,0,0,cm2016-01-07.031
P1\P2\LR5,cm2016-01-07.031\P1\P2\LR5,E10,0,0,0,0,0,cm2016-01-07.031
cm2016-01-07.030,cm2016-01-07.030,G9,100,---,20000,1.30E+06,"1,304.29",cm2016-01-07.030
P1,cm2016-01-07.030\P1,G9,99.26,99.26,19851,1.29E+06,"1,294.57",cm2016-01-07.030
P1\P2,cm2016-01-07.030\P1\P2,G9,98.36,99.09,19671,1.28E+06,"1,282.84",cm2016-01-07.030
