Path,WID,%-T,%-#,Count,Count/mL,Count/_L,file
live (cm2016-01-08.032),C10,100,---,17687,4.44E+05,444.5,live (cm2016-01-08.032)
P1,C10,28.18,28.18,4985,1.25E+05,125.28,live (cm2016-01-08.032)
P1\P2,C10,27.74,98.44,4907,1.23E+05,123.32,live (cm2016-01-08.032)
P1\P2\LL3,C10,27.64,99.63,4889,1.23E+05,122.87,live (cm2016-01-08.032)
P1\P2\UL3,C10,0.03,0.12,6,151,0.15,live (cm2016-01-08.032)
P1\P2\UR3,C10,0.01,0.02,1,25.1,0.03,live (cm2016-01-08.032)
P1\P2\LR3,C10,0.06,0.22,11,276,0.28,live (cm2016-01-08.032)
P1\P2\LL4,C10,27.6,99.47,4881,1.23E+05,122.67,live (cm2016-01-08.032)
P1\P2\UL4,C10,0,0,0,0,0,live (cm2016-01-08.032)
P1\P2\UR4,C10,0,0,0,0,0,live (cm2016-01-08.032)
P1\P2\LR4,C10,0.15,0.53,26,653,0.65,live (cm2016-01-08.032)
P1\P2\LL5,C10,26.21,94.46,4635,1.16E+05,116.48,live (cm2016-01-08.032)
P1\P2\UL5,C10,1.29,4.65,228,5.73E+03,5.73,live (cm2016-01-08.032)
P1\P2\UR5,C10,0.15,0.53,26,653,0.65,live (cm2016-01-08.032)
P1\P2\LR5,C10,0.1,0.37,18,452,0.45,live (cm2016-01-08.032)
cm2016-01-08.031,A10,100,---,5942,1.50E+05,150.43,cm2016-01-08.031
P1,A10,91.32,91.32,5426,1.37E+05,137.37,cm2016-01-08.031
P1\P2,A10,90.78,99.41,5394,1.37E+05,136.56,cm2016-01-08.031
P1\P2\LL3,A10,90.68,99.89,5388,1.36E+05,136.41,cm2016-01-08.031
P1\P2\UL3,A10,0.07,0.07,4,101,0.1,cm2016-01-08.031
P1\P2\UR3,A10,0.02,0.02,1,25.3,0.03,cm2016-01-08.031
P1\P2\LR3,A10,0.02,0.02,1,25.3,0.03,cm2016-01-08.031
P1\P2\LL4,A10,90.76,99.98,5393,1.37E+05,136.53,cm2016-01-08.031
P1\P2\UL4,A10,0,0,0,0,0,cm2016-01-08.031
P1\P2\UR4,A10,0,0,0,0,0,cm2016-01-08.031
P1\P2\LR4,A10,0.02,0.02,1,25.3,0.03,cm2016-01-08.031
P1\P2\LL5,A10,89.03,98.07,5290,1.34E+05,133.92,cm2016-01-08.031
P1\P2\UL5,A10,1.16,1.28,69,1.75E+03,1.75,cm2016-01-08.031
P1\P2\UR5,A10,0.17,0.19,10,253,0.25,cm2016-01-08.031
P1\P2\LR5,A10,0.42,0.46,25,633,0.63,cm2016-01-08.031
cm2016-01-08.030,C9,100,---,5190,1.30E+05,130.09,cm2016-01-08.030
P1,C9,86.97,86.97,4514,1.13E+05,113.14,cm2016-01-08.030
P1\P2,C9,86.13,99.03,4470,1.12E+05,112.04,cm2016-01-08.030
P1\P2\LL3,C9,85.82,99.64,4454,1.12E+05,111.64,cm2016-01-08.030
P1\P2\UL3,C9,0.25,0.29,13,326,0.33,cm2016-01-08.030
P1\P2\UR3,C9,0.06,0.07,3,75.2,0.08,cm2016-01-08.030
P1\P2\LR3,C9,0,0,0,0,0,cm2016-01-08.030
P1\P2\LL4,C9,86.07,99.93,4467,1.12E+05,111.97,cm2016-01-08.030
P1\P2\UL4,C9,0.04,0.04,2,50.1,0.05,cm2016-01-08.030
P1\P2\UR4,C9,0,0,0,0,0,cm2016-01-08.030
P1\P2\LR4,C9,0.02,0.02,1,25.1,0.03,cm2016-01-08.030
P1\P2\LL5,C9,81.83,95.01,4247,1.06E+05,106.45,cm2016-01-08.030
P1\P2\UL5,C9,3.53,4.09,183,4.59E+03,4.59,cm2016-01-08.030
P1\P2\UR5,C9,0.44,0.51,23,576,0.58,cm2016-01-08.030
P1\P2\LR5,C9,0.33,0.38,17,426,0.43,cm2016-01-08.030
cm2016-01-08.029,A9,100,---,7199,1.86E+05,185.88,cm2016-01-08.029
P1,A9,74.14,74.14,5337,1.38E+05,137.8,cm2016-01-08.029
P1\P2,A9,73.4,99.01,5284,1.36E+05,136.44,cm2016-01-08.029
P1\P2\LL3,A9,73.34,99.92,5280,1.36E+05,136.33,cm2016-01-08.029
P1\P2\UL3,A9,0.04,0.06,3,77.5,0.08,cm2016-01-08.029
P1\P2\UR3,A9,0.01,0.02,1,25.8,0.03,cm2016-01-08.029
P1\P2\LR3,A9,0,0,0,0,0,cm2016-01-08.029
P1\P2\LL4,A9,73.37,99.96,5282,1.36E+05,136.38,cm2016-01-08.029
P1\P2\UL4,A9,0,0,0,0,0,cm2016-01-08.029
P1\P2\UR4,A9,0,0,0,0,0,cm2016-01-08.029
P1\P2\LR4,A9,0.03,0.04,2,51.6,0.05,cm2016-01-08.029
P1\P2\LL5,A9,72.33,98.54,5207,1.34E+05,134.45,cm2016-01-08.029
P1\P2\UL5,A9,0.61,0.83,44,1.14E+03,1.14,cm2016-01-08.029
P1\P2\UR5,A9,0.11,0.15,8,207,0.21,cm2016-01-08.029
P1\P2\LR5,A9,0.35,0.47,25,646,0.65,cm2016-01-08.029
cm2016-01-08.028,C8,100,---,4772,1.23E+05,122.69,cm2016-01-08.028
P1,C8,99.52,99.52,4749,1.22E+05,122.09,cm2016-01-08.028
P1\P2,C8,99.06,99.54,4727,1.22E+05,121.53,cm2016-01-08.028
P1\P2\LL3,C8,98.78,99.72,4714,1.21E+05,121.19,cm2016-01-08.028
P1\P2\UL3,C8,0.21,0.21,10,257,0.26,cm2016-01-08.028
P1\P2\UR3,C8,0.06,0.06,3,77.1,0.08,cm2016-01-08.028
P1\P2\LR3,C8,0,0,0,0,0,cm2016-01-08.028
P1\P2\LL4,C8,99.06,100,4727,1.22E+05,121.53,cm2016-01-08.028
P1\P2\UL4,C8,0,0,0,0,0,cm2016-01-08.028
P1\P2\UR4,C8,0,0,0,0,0,cm2016-01-08.028
P1\P2\LR4,C8,0,0,0,0,0,cm2016-01-08.028
P1\P2\LL5,C8,94.97,95.87,4532,1.17E+05,116.52,cm2016-01-08.028
P1\P2\UL5,C8,3.08,3.11,147,3.78E+03,3.78,cm2016-01-08.028
P1\P2\UR5,C8,0.73,0.74,35,900,0.9,cm2016-01-08.028
P1\P2\LR5,C8,0.27,0.28,13,334,0.33,cm2016-01-08.028
cm2016-01-08.027,A8,100,---,5491,1.44E+05,143.56,cm2016-01-08.027
P1,A8,99.54,99.54,5466,1.43E+05,142.9,cm2016-01-08.027
P1\P2,A8,98.96,99.41,5434,1.42E+05,142.07,cm2016-01-08.027
P1\P2\LL3,A8,98.8,99.83,5425,1.42E+05,141.83,cm2016-01-08.027
P1\P2\UL3,A8,0.11,0.11,6,157,0.16,cm2016-01-08.027
P1\P2\UR3,A8,0,0,0,0,0,cm2016-01-08.027
P1\P2\LR3,A8,0.05,0.06,3,78.4,0.08,cm2016-01-08.027
P1\P2\LL4,A8,98.96,100,5434,1.42E+05,142.07,cm2016-01-08.027
P1\P2\UL4,A8,0,0,0,0,0,cm2016-01-08.027
P1\P2\UR4,A8,0,0,0,0,0,cm2016-01-08.027
P1\P2\LR4,A8,0,0,0,0,0,cm2016-01-08.027
P1\P2\LL5,A8,97.96,98.99,5379,1.41E+05,140.63,cm2016-01-08.027
P1\P2\UL5,A8,0.35,0.35,19,497,0.5,cm2016-01-08.027
P1\P2\UR5,A8,0.13,0.13,7,183,0.18,cm2016-01-08.027
P1\P2\LR5,A8,0.53,0.53,29,758,0.76,cm2016-01-08.027
cm2016-01-08.026,C7,100,---,5134,1.29E+05,128.68,cm2016-01-08.026
P1,C7,99.63,99.63,5115,1.28E+05,128.21,cm2016-01-08.026
P1\P2,C7,99.12,99.49,5089,1.28E+05,127.56,cm2016-01-08.026
P1\P2\LL3,C7,98.93,99.8,5079,1.27E+05,127.31,cm2016-01-08.026
P1\P2\UL3,C7,0.19,0.2,10,251,0.25,cm2016-01-08.026
P1\P2\UR3,C7,0,0,0,0,0,cm2016-01-08.026
P1\P2\LR3,C7,0,0,0,0,0,cm2016-01-08.026
P1\P2\LL4,C7,99.12,100,5089,1.28E+05,127.56,cm2016-01-08.026
P1\P2\UL4,C7,0,0,0,0,0,cm2016-01-08.026
P1\P2\UR4,C7,0,0,0,0,0,cm2016-01-08.026
P1\P2\LR4,C7,0,0,0,0,0,cm2016-01-08.026
P1\P2\LL5,C7,97.45,98.31,5003,1.25E+05,125.4,cm2016-01-08.026
P1\P2\UL5,C7,0.86,0.86,44,1.10E+03,1.1,cm2016-01-08.026
P1\P2\UR5,C7,0.35,0.35,18,451,0.45,cm2016-01-08.026
P1\P2\LR5,C7,0.47,0.47,24,602,0.6,cm2016-01-08.026
