file,estradiol,media,strain,URA3
live (cm2016-01-10.033),0.000195313,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-10.032,0.000195313,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-10.031,0.000390625,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-10.030,0.000390625,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-10.029,0.00078125,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-10.028,0.00078125,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-10.027,0.0015625,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-10.026,0.0015625,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-10.025,0,SC+5FOA,CMY138,ura3
cm2016-01-10.024,0.003125,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-10.023,0,SC-ura,CMY138,ura3
cm2016-01-10.022,0.003125,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-10.021,0,SC+5FOA,PMY1639,URA3
cm2016-01-10.020,0.00625,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-10.019,0,SC-ura,PMY1639,URA3
cm2016-01-10.018,0.00625,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-10.017,0,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-10.016,0.0125,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-10.015,0,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-10.014,0.0125,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-10.013,2.44E-05,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-10.012,0.025,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-10.011,2.44E-05,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-10.010,0.025,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-10.009,4.88E-05,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-10.008,0.05,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-10.007,4.88E-05,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-10.006,0.05,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-10.005,9.77E-05,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-10.004,0.1,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-10.003,9.77E-05,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-10.002,0.1,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
