file,estradiol,media,strain,URA3
live (cm2016-01-11.032),0.000195313,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-11.031,0.000195313,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-11.030,0.000390625,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-11.029,0.000390625,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-11.028,0.00078125,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-11.027,0.00078125,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-11.026,0.0015625,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-11.025,0.0015625,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-11.024,0,SC+5FOA,CMY138,ura3
cm2016-01-11.023,0.003125,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-11.022,0,SC-ura,CMY138,ura3
cm2016-01-11.021,0.003125,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-11.020,0,SC+5FOA,PMY1639,URA3
cm2016-01-11.019,0.00625,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-11.018,0,SC-ura,PMY1639,URA3
cm2016-01-11.017,0.00625,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-11.016,0,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-11.015,0.0125,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-11.014,0,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-11.013,0.0125,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-11.012,2.44E-05,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-11.011,0.025,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-11.010,2.44E-05,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-11.009,0.025,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-11.008,4.88E-05,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-11.007,0.05,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-11.006,4.88E-05,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-11.005,0.05,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-11.004,9.77E-05,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-11.003,0.1,SC+5FOA,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-11.002,9.77E-05,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
cm2016-01-11.001,0.1,SC-ura,CMY97,Z4EVpr:Ub-I-Ek-URA3
