"","gate","media","estradiol","group_name","postselection","preselection"
"1","GFP","SC+5FOA",0,"mCherry-vs-GFP",241000,23000
"2","GFP","5FOA->SC",0,"mCherry-vs-GFP",267000,23000
"3","GFP","SC-ura",0,"mCherry-vs-GFP",155,23000
"4","GFP","SC",0,"mCherry-vs-GFP",268000,23000
"5","GFP","5FOA->SC",1,"mCherry-vs-GFP",575000,25400
"6","GFP","SC",1,"mCherry-vs-GFP",571000,25400
"7","GFP","SC-ura",1,"mCherry-vs-GFP",664000,25400
"8","GFP","SC+5FOA",1,"mCherry-vs-GFP",372,25400
"9","double","5FOA->SC",0,"mCherry-vs-GFP",2400,252
"10","double","SC-ura",0,"mCherry-vs-GFP",0,252
"11","double","SC+5FOA",0,"mCherry-vs-GFP",1210,252
"12","double","SC",0,"mCherry-vs-GFP",2410,252
"13","double","SC-ura",1,"mCherry-vs-GFP",6510,318
"14","double","SC",1,"mCherry-vs-GFP",5870,318
"15","double","SC+5FOA",1,"mCherry-vs-GFP",0,318
"16","double","5FOA->SC",1,"mCherry-vs-GFP",6250,318
"17","mCherry","SC",0,"mCherry-vs-GFP",315000,22400
"18","mCherry","SC+5FOA",0,"mCherry-vs-GFP",349000,22400
"19","mCherry","SC-ura",0,"mCherry-vs-GFP",517,22400
"20","mCherry","5FOA->SC",0,"mCherry-vs-GFP",342000,22400
"21","mCherry","SC-ura",1,"mCherry-vs-GFP",654000,24200
"22","mCherry","SC+5FOA",1,"mCherry-vs-GFP",290,24200
"23","mCherry","SC",1,"mCherry-vs-GFP",636000,24200
"24","mCherry","5FOA->SC",1,"mCherry-vs-GFP",662000,24200
"25","unstained","SC",0,"mCherry-vs-GFP",887,140.8
"26","unstained","SC-ura",0,"mCherry-vs-GFP",0,140.8
"27","unstained","SC+5FOA",0,"mCherry-vs-GFP",562,140.8
"28","unstained","5FOA->SC",0,"mCherry-vs-GFP",867,140.8
"29","unstained","SC-ura",1,"mCherry-vs-GFP",2420,43.8
"30","unstained","SC",1,"mCherry-vs-GFP",2080,43.8
"31","unstained","SC+5FOA",1,"mCherry-vs-GFP",41.4,43.8
"32","unstained","5FOA->SC",1,"mCherry-vs-GFP",912,43.8
"33","GFP","SC-ura",0,"vs-ura3",244,29000
"34","GFP","SC+5FOA",0,"vs-ura3",454000,29000
"35","GFP","SC",0,"vs-ura3",275000,29000
"36","GFP","5FOA->SC",0,"vs-ura3",288000,29000
"37","GFP","5FOA->SC",1,"vs-ura3",321000,32400
"38","GFP","SC+5FOA",1,"vs-ura3",662000,32400
"39","GFP","SC",1,"vs-ura3",311000,32400
"40","GFP","SC-ura",1,"vs-ura3",432,32400
"41","double","SC+5FOA",0,"vs-ura3",1730,358
"42","double","SC-ura",0,"vs-ura3",0,358
"43","double","5FOA->SC",0,"vs-ura3",1380,358
"44","double","SC",0,"vs-ura3",2320,358
"45","double","SC",1,"vs-ura3",3110,370
"46","double","SC-ura",1,"vs-ura3",0,370
"47","double","5FOA->SC",1,"vs-ura3",2450,370
"48","double","SC+5FOA",1,"vs-ura3",0,370
