Name,Path,Descr.,%-T,%-#,Count/mL
live (cm2015-08-16.031),live (cm2015-08-16.031),,100,---,3.11E+06
P1,P1,,99.61,99.61,3.09E+06
P2,P1\P2,,89.81,90.16,2.79E+06
LL3,P1\P2\LL3,,1.07,1.2,3.34E+04
UL3,P1\P2\UL3,,42.36,47.17,1.32E+06
UR3,P1\P2\UR3,,0.63,0.7,1.96E+04
LR3,P1\P2\LR3,,45.74,50.93,1.42E+06
LL4,P1\P2\LL4,,46.89,52.22,1.46E+06
UL4,P1\P2\UL4,,42.91,47.78,1.33E+06
UR4,P1\P2\UR4,,0,0,0
LR4,P1\P2\LR4,,0,0,0
LL5,P1\P2\LL5,,46.72,52.02,1.45E+06
UL5,P1\P2\UL5,,0,0,0
UR5,P1\P2\UR5,,0,0,0
LR5,P1\P2\LR5,,43.09,47.98,1.34E+06
cm2015-08-16.030,cm2015-08-16.030,,100,---,3.11E+06
P1,P1,,99.58,99.58,3.09E+06
P2,P1\P2,,89.87,90.25,2.79E+06
LL3,P1\P2\LL3,,2.74,3.05,8.51E+04
UL3,P1\P2\UL3,,40.01,44.51,1.24E+06
UR3,P1\P2\UR3,,0.57,0.64,1.79E+04
LR3,P1\P2\LR3,,46.55,51.8,1.45E+06
LL4,P1\P2\LL4,,49.41,54.97,1.54E+06
UL4,P1\P2\UL4,,40.46,45.02,1.26E+06
UR4,P1\P2\UR4,,0.01,0.01,155
LR4,P1\P2\LR4,,0,0,0
LL5,P1\P2\LL5,,49.19,54.73,1.53E+06
UL5,P1\P2\UL5,,0,0,0
UR5,P1\P2\UR5,,0.01,0.01,155
LR5,P1\P2\LR5,,40.67,45.26,1.26E+06
cm2015-08-16.029,cm2015-08-16.029,,100,---,2.51E+06
P1,P1,,99.67,99.67,2.50E+06
P2,P1\P2,,91.37,91.68,2.30E+06
LL3,P1\P2\LL3,,0.28,0.31,7.04E+03
UL3,P1\P2\UL3,,44.69,48.91,1.12E+06
UR3,P1\P2\UR3,,0.5,0.55,1.26E+04
LR3,P1\P2\LR3,,45.91,50.24,1.15E+06
LL4,P1\P2\LL4,,46.25,50.61,1.16E+06
UL4,P1\P2\UL4,,45.12,49.39,1.13E+06
UR4,P1\P2\UR4,,0,0,0
LR4,P1\P2\LR4,,0,0,0
LL5,P1\P2\LL5,,46.03,50.38,1.16E+06
UL5,P1\P2\UL5,,0,0,0
UR5,P1\P2\UR5,,0,0,0
LR5,P1\P2\LR5,,45.34,49.62,1.14E+06
cm2015-08-16.028,cm2015-08-16.028,,100,---,3.65E+06
P1,P1,,99.67,99.67,3.64E+06
P2,P1\P2,,89.7,90,3.27E+06
LL3,P1\P2\LL3,,0.8,0.9,2.94E+04
UL3,P1\P2\UL3,,42.2,47.04,1.54E+06
UR3,P1\P2\UR3,,0.6,0.66,2.17E+04
LR3,P1\P2\LR3,,46.11,51.4,1.68E+06
LL4,P1\P2\LL4,,47.01,52.41,1.72E+06
UL4,P1\P2\UL4,,42.7,47.59,1.56E+06
UR4,P1\P2\UR4,,0,0,0
LR4,P1\P2\LR4,,0,0,0
LL5,P1\P2\LL5,,46.81,52.18,1.71E+06
UL5,P1\P2\UL5,,0,0,0
UR5,P1\P2\UR5,,0,0,0
LR5,P1\P2\LR5,,42.9,47.82,1.57E+06
cm2015-08-16.027,cm2015-08-16.027,,100,---,3.39E+06
P1,P1,,99.59,99.59,3.38E+06
P2,P1\P2,,89.22,89.59,3.03E+06
LL3,P1\P2\LL3,,2.67,3,9.07E+04
UL3,P1\P2\UL3,,38.16,42.77,1.29E+06
UR3,P1\P2\UR3,,0.55,0.61,1.85E+04
LR3,P1\P2\LR3,,47.84,53.62,1.62E+06
LL4,P1\P2\LL4,,50.66,56.78,1.72E+06
UL4,P1\P2\UL4,,38.56,43.22,1.31E+06
UR4,P1\P2\UR4,,0,0,0
LR4,P1\P2\LR4,,0,0,0
LL5,P1\P2\LL5,,50.36,56.44,1.71E+06
UL5,P1\P2\UL5,,0,0,0
UR5,P1\P2\UR5,,0,0,0
LR5,P1\P2\LR5,,38.87,43.56,1.32E+06
cm2015-08-16.026,cm2015-08-16.026,,100,---,2.74E+06
P1,P1,,99.74,99.74,2.73E+06
P2,P1\P2,,91.51,91.74,2.50E+06
LL3,P1\P2\LL3,,0.08,0.09,2.19E+03
UL3,P1\P2\UL3,,44.28,48.39,1.21E+06
UR3,P1\P2\UR3,,0.58,0.63,1.59E+04
LR3,P1\P2\LR3,,46.56,50.89,1.27E+06
LL4,P1\P2\LL4,,46.75,51.09,1.28E+06
UL4,P1\P2\UL4,,44.76,48.91,1.22E+06
UR4,P1\P2\UR4,,0,0,0
LR4,P1\P2\LR4,,0,0,0
LL5,P1\P2\LL5,,46.49,50.81,1.27E+06
UL5,P1\P2\UL5,,0,0,0
UR5,P1\P2\UR5,,0,0,0
LR5,P1\P2\LR5,,45.01,49.19,1.23E+06
cm2015-08-16.025,cm2015-08-16.025,,100,---,7.42E+05
P1,P1,,96.74,96.74,7.18E+05
P2,P1\P2,,93.79,96.95,6.96E+05
LL3,P1\P2\LL3,,0.04,0.04,304
UL3,P1\P2\UL3,,55.66,59.35,4.13E+05
UR3,P1\P2\UR3,,0.31,0.33,2.30E+03
LR3,P1\P2\LR3,,37.77,40.27,2.80E+05
LL4,P1\P2\LL4,,37.83,40.34,2.81E+05
