file,group,group_name,estradiol,media,dilution
cm2015-08-16.002,A,mCherry-vs-GFP,1,SC,100
cm2015-08-16.003,A,mCherry-vs-GFP,1,SC-ura,100
cm2015-08-16.004,A,mCherry-vs-GFP,1,SC+5FOA,100
cm2015-08-16.005,A,mCherry-vs-GFP,0,SC,100
cm2015-08-16.006,A,mCherry-vs-GFP,0,SC-ura,100
cm2015-08-16.007,A,mCherry-vs-GFP,0,SC+5FOA,100
cm2015-08-16.008,A,mCherry-vs-GFP,1,5FOA->SC,100
cm2015-08-16.009,A,mCherry-vs-GFP,0,5FOA->SC,100
cm2015-08-16.010,B,vs-ura3,1,SC,100
cm2015-08-16.011,B,vs-ura3,1,SC-ura,100
cm2015-08-16.012,B,vs-ura3,1,SC+5FOA,100
cm2015-08-16.013,B,vs-ura3,0,SC,100
cm2015-08-16.014,B,vs-ura3,0,SC-ura,100
cm2015-08-16.015,B,vs-ura3,0,SC+5FOA,100
cm2015-08-16.016,B,vs-ura3,1,5FOA->SC,100
cm2015-08-16.017,B,vs-ura3,0,5FOA->SC,100
cm2015-08-16.018,C,vs-URA3,1,SC,100
cm2015-08-16.019,C,vs-URA3,1,SC-ura,100
cm2015-08-16.020,C,vs-URA3,1,SC+5FOA,100
cm2015-08-16.021,C,vs-URA3,0,SC,100
cm2015-08-16.022,C,vs-URA3,0,SC-ura,100
cm2015-08-16.023,C,vs-URA3,0,SC+5FOA,100
cm2015-08-16.024,C,vs-URA3,1,5FOA->SC,100
cm2015-08-16.025,C,vs-URA3,0,5FOA->SC,100
cm2015-08-16.026,A,mCherry-vs-GFP,1,sH20,33.33333333
cm2015-08-16.027,B,vs-ura3,1,sH20,33.33333333
cm2015-08-16.028,C,vs-URA3,1,sH20,33.33333333
cm2015-08-16.029,A,mCherry-vs-GFP,0,sH20,33.33333333
cm2015-08-16.030,B,vs-ura3,0,sH20,33.33333333
live (cm2015-08-16.031),C,vs-URA3,0,sH20,33.33333333
