Name,Path,%-T,%-#,Count,Count/mL,file
live (cm2015-08-18.030),live (cm2015-08-18.030),100,---,1957,7.80E+04,live (cm2015-08-18.030)
P1,P1,48.85,48.85,956,3.81E+04,live (cm2015-08-18.030)
P2,P1\P2,48.34,98.95,946,3.77E+04,live (cm2015-08-18.030)
LL3,P1\P2\LL3,2.45,5.07,48,1.91E+03,live (cm2015-08-18.030)
UL3,P1\P2\UL3,27.85,57.61,545,2.17E+04,live (cm2015-08-18.030)
UR3,P1\P2\UR3,0.05,0.11,1,39.9,live (cm2015-08-18.030)
LR3,P1\P2\LR3,17.99,37.21,352,1.40E+04,live (cm2015-08-18.030)
LL4,P1\P2\LL4,20.44,42.28,400,1.59E+04,live (cm2015-08-18.030)
UL4,P1\P2\UL4,27.9,57.72,546,2.18E+04,live (cm2015-08-18.030)
UR4,P1\P2\UR4,0,0,0,0,live (cm2015-08-18.030)
LR4,P1\P2\LR4,0,0,0,0,live (cm2015-08-18.030)
LL5,P1\P2\LL5,20.34,42.07,398,1.59E+04,live (cm2015-08-18.030)
UL5,P1\P2\UL5,0,0,0,0,live (cm2015-08-18.030)
UR5,P1\P2\UR5,0.05,0.11,1,39.9,live (cm2015-08-18.030)
LR5,P1\P2\LR5,27.95,57.82,547,2.18E+04,live (cm2015-08-18.030)
cm2015-08-18.029,cm2015-08-18.029,100,---,1465,6.48E+04,cm2015-08-18.029
P1,P1,65.94,65.94,966,4.27E+04,cm2015-08-18.029
P2,P1\P2,65.32,99.07,957,4.23E+04,cm2015-08-18.029
LL3,P1\P2\LL3,1.91,2.93,28,1.24E+03,cm2015-08-18.029
UL3,P1\P2\UL3,37.61,57.58,551,2.44E+04,cm2015-08-18.029
UR3,P1\P2\UR3,0,0,0,0,cm2015-08-18.029
LR3,P1\P2\LR3,25.8,39.5,378,1.67E+04,cm2015-08-18.029
LL4,P1\P2\LL4,27.71,42.42,406,1.80E+04,cm2015-08-18.029
UL4,P1\P2\UL4,37.61,57.58,551,2.44E+04,cm2015-08-18.029
UR4,P1\P2\UR4,0,0,0,0,cm2015-08-18.029
LR4,P1\P2\LR4,0,0,0,0,cm2015-08-18.029
LL5,P1\P2\LL5,27.58,42.22,404,1.79E+04,cm2015-08-18.029
UL5,P1\P2\UL5,0,0,0,0,cm2015-08-18.029
UR5,P1\P2\UR5,0.07,0.1,1,44.2,cm2015-08-18.029
LR5,P1\P2\LR5,37.68,57.68,552,2.44E+04,cm2015-08-18.029
cm2015-08-18.028,cm2015-08-18.028,100,---,2243,9.06E+04,cm2015-08-18.028
P1,P1,45.79,45.79,1027,4.15E+04,cm2015-08-18.028
P2,P1\P2,44.45,97.08,997,4.03E+04,cm2015-08-18.028
LL3,P1\P2\LL3,0.94,2.11,21,848,cm2015-08-18.028
UL3,P1\P2\UL3,23.54,52.96,528,2.13E+04,cm2015-08-18.028
UR3,P1\P2\UR3,0,0,0,0,cm2015-08-18.028
