file,group,group_name,estradiol,media
cm2015-08-18.013,A,mCherry-vs-GFP,1,SC
cm2015-08-18.014,A,mCherry-vs-GFP,1,SC-ura
cm2015-08-18.015,A,mCherry-vs-GFP,1,SC+5FOA
cm2015-08-18.016,A,mCherry-vs-GFP,0,SC
cm2015-08-18.017,A,mCherry-vs-GFP,0,SC-ura
cm2015-08-18.018,A,mCherry-vs-GFP,0,SC+5FOA
cm2015-08-18.019,B,vs-ura3,1,SC
cm2015-08-18.020,B,vs-ura3,1,SC-ura
cm2015-08-18.021,B,vs-ura3,1,SC+5FOA
cm2015-08-18.022,B,vs-ura3,0,SC
cm2015-08-18.023,B,vs-ura3,0,SC-ura
cm2015-08-18.024,B,vs-ura3,0,SC+5FOA
cm2015-08-18.025,C,vs-URA3,1,SC
cm2015-08-18.026,C,vs-URA3,1,SC-ura
cm2015-08-18.027,C,vs-URA3,1,SC+5FOA
cm2015-08-18.028,C,vs-URA3,0,SC
cm2015-08-18.029,C,vs-URA3,0,SC-ura
live (cm2015-08-18.030),C,vs-URA3,0,SC+5FOA
