Name,Path,%-T,%-#,Count/mL,file
live (cm2015-08-19.018),live (cm2015-08-19.018),100,---,1.56E+06,live (cm2015-08-19.018)
P1,P1,99.67,99.67,1.55E+06,live (cm2015-08-19.018)
P2,P1\P2,95.83,96.14,1.49E+06,live (cm2015-08-19.018)
unstained,P1\P2\unstained,0.01,0.01,156,live (cm2015-08-19.018)
mCherry,P1\P2\mCherry,95.77,99.94,1.49E+06,live (cm2015-08-19.018)
double-stained,P1\P2\double-stained,0.01,0.01,77.9,live (cm2015-08-19.018)
GFP,P1\P2\GFP,0.04,0.05,701,live (cm2015-08-19.018)
LL4,P1\P2\LL4,0.06,0.06,857,live (cm2015-08-19.018)
UL4,P1\P2\UL4,95.78,99.94,1.49E+06,live (cm2015-08-19.018)
UR4,P1\P2\UR4,0,0,0,live (cm2015-08-19.018)
LR4,P1\P2\LR4,0,0,0,live (cm2015-08-19.018)
LL5,P1\P2\LL5,0.06,0.06,857,live (cm2015-08-19.018)
UL5,P1\P2\UL5,0,0,0,live (cm2015-08-19.018)
UR5,P1\P2\UR5,0.01,0.01,77.9,live (cm2015-08-19.018)
LR5,P1\P2\LR5,95.77,99.94,1.49E+06,live (cm2015-08-19.018)
cm2015-08-19.017,cm2015-08-19.017,100,---,2.87E+06,cm2015-08-19.017
P1,P1,99.84,99.84,2.87E+06,cm2015-08-19.017
P2,P1\P2,93.03,93.18,2.67E+06,cm2015-08-19.017
unstained,P1\P2\unstained,0.12,0.13,3.45E+03,cm2015-08-19.017
mCherry,P1\P2\mCherry,0.01,0.02,431,cm2015-08-19.017
double-stained,P1\P2\double-stained,0.01,0.01,144,cm2015-08-19.017
GFP,P1\P2\GFP,92.9,99.85,2.67E+06,cm2015-08-19.017
LL4,P1\P2\LL4,93.02,99.98,2.67E+06,cm2015-08-19.017
UL4,P1\P2\UL4,0.01,0.02,431,cm2015-08-19.017
UR4,P1\P2\UR4,0,0,0,cm2015-08-19.017
LR4,P1\P2\LR4,0,0,0,cm2015-08-19.017
LL5,P1\P2\LL5,92.86,99.81,2.67E+06,cm2015-08-19.017
UL5,P1\P2\UL5,0,0,0,cm2015-08-19.017
UR5,P1\P2\UR5,0,0,0,cm2015-08-19.017
LR5,P1\P2\LR5,0.18,0.19,5.03E+03,cm2015-08-19.017
cm2015-08-19.016,cm2015-08-19.016,100,---,2.49E+06,cm2015-08-19.016
P1,P1,99.78,99.78,2.49E+06,cm2015-08-19.016
P2,P1\P2,93.48,93.69,2.33E+06,cm2015-08-19.016
unstained,P1\P2\unstained,0.1,0.11,2.62E+03,cm2015-08-19.016
mCherry,P1\P2\mCherry,34.27,36.66,8.55E+05,cm2015-08-19.016
double-stained,P1\P2\double-stained,0.91,0.97,2.26E+04,cm2015-08-19.016
GFP,P1\P2\GFP,58.2,62.26,1.45E+06,cm2015-08-19.016
LL4,P1\P2\LL4,58.52,62.6,1.46E+06,cm2015-08-19.016
UL4,P1\P2\UL4,34.96,37.4,8.72E+05,cm2015-08-19.016
UR4,P1\P2\UR4,0,0,0,cm2015-08-19.016
LR4,P1\P2\LR4,0,0,0,cm2015-08-19.016
LL5,P1\P2\LL5,57.96,62,1.45E+06,cm2015-08-19.016
UL5,P1\P2\UL5,0,0,0,cm2015-08-19.016
UR5,P1\P2\UR5,0.01,0.01,125,cm2015-08-19.016
LR5,P1\P2\LR5,35.52,37.99,8.86E+05,cm2015-08-19.016
cm2015-08-19.015,cm2015-08-19.015,100,---,1.20E+04,cm2015-08-19.015
P1,P1,11.66,11.66,1.40E+03,cm2015-08-19.015
P2,P1\P2,11.66,100,1.40E+03,cm2015-08-19.015
unstained,P1\P2\unstained,0.69,5.88,82.4,cm2015-08-19.015
mCherry,P1\P2\mCherry,6.52,55.88,783,cm2015-08-19.015
double-stained,P1\P2\double-stained,0,0,0,cm2015-08-19.015
GFP,P1\P2\GFP,4.46,38.24,536,cm2015-08-19.015
LL4,P1\P2\LL4,5.15,44.12,618,cm2015-08-19.015
UL4,P1\P2\UL4,6.52,55.88,783,cm2015-08-19.015
UR4,P1\P2\UR4,0,0,0,cm2015-08-19.015
LR4,P1\P2\LR4,0,0,0,cm2015-08-19.015
LL5,P1\P2\LL5,5.15,44.12,618,cm2015-08-19.015
UL5,P1\P2\UL5,0,0,0,cm2015-08-19.015
UR5,P1\P2\UR5,0,0,0,cm2015-08-19.015
LR5,P1\P2\LR5,6.52,55.88,783,cm2015-08-19.015
cm2015-08-19.014,cm2015-08-19.014,100,---,3.03E+06,cm2015-08-19.014
P1,P1,99.83,99.83,3.02E+06,cm2015-08-19.014
P2,P1\P2,92.98,93.14,2.82E+06,cm2015-08-19.014
unstained,P1\P2\unstained,0.1,0.11,3.18E+03,cm2015-08-19.014
mCherry,P1\P2\mCherry,51.36,55.23,1.56E+06,cm2015-08-19.014
double-stained,P1\P2\double-stained,1.08,1.17,3.29E+04,cm2015-08-19.014
GFP,P1\P2\GFP,40.44,43.49,1.22E+06,cm2015-08-19.014
LL4,P1\P2\LL4,40.77,43.84,1.23E+06,cm2015-08-19.014
