file,group,group_name,estradiol,media
cm2015-08-19.001,A,mCherry-vs-GFP,1,SC
cm2015-08-19.002,A,mCherry-vs-GFP,1,SC-ura
cm2015-08-19.003,A,mCherry-vs-GFP,1,SC+5FOA
cm2015-08-19.004,A,mCherry-vs-GFP,0,SC
cm2015-08-19.005,A,mCherry-vs-GFP,0,SC-ura
cm2015-08-19.006,A,mCherry-vs-GFP,0,SC+5FOA
cm2015-08-19.007,B,vs-ura3,1,SC
cm2015-08-19.008,B,vs-ura3,1,SC-ura
cm2015-08-19.009,B,vs-ura3,1,SC+5FOA
cm2015-08-19.010,B,vs-ura3,0,SC
cm2015-08-19.011,B,vs-ura3,0,SC-ura
cm2015-08-19.012,B,vs-ura3,0,SC+5FOA
cm2015-08-19.013,C,vs-URA3,1,SC
cm2015-08-19.014,C,vs-URA3,1,SC-ura
cm2015-08-19.015,C,vs-URA3,1,SC+5FOA
cm2015-08-19.016,C,vs-URA3,0,SC
cm2015-08-19.017,C,vs-URA3,0,SC-ura
live (cm2015-08-19.018),C,vs-URA3,0,SC+5FOA
