Name,Path,%-T,%-#,Count,Count/mL,file
live (cm2015-08-24.019),live (cm2015-08-24.019),100,---,3970,8.03E+04,live (cm2015-08-24.019)
P1,P1,41.26,41.26,1638,3.31E+04,live (cm2015-08-24.019)
P2,P1\P2,40.33,97.74,1601,3.24E+04,live (cm2015-08-24.019)
LL3,P1\P2\LL3,1.59,3.94,63,1.27E+03,live (cm2015-08-24.019)
UL3,P1\P2\UL3,22.09,54.78,877,1.77E+04,live (cm2015-08-24.019)
UR3,P1\P2\UR3,0.1,0.25,4,80.9,live (cm2015-08-24.019)
LR3,P1\P2\LR3,16.55,41.04,657,1.33E+04,live (cm2015-08-24.019)
LL4,P1\P2\LL4,18.26,45.28,725,1.47E+04,live (cm2015-08-24.019)
UL4,P1\P2\UL4,22.07,54.72,876,1.77E+04,live (cm2015-08-24.019)
UR4,P1\P2\UR4,0,0,0,0,live (cm2015-08-24.019)
LR4,P1\P2\LR4,0,0,0,0,live (cm2015-08-24.019)
LL5,P1\P2\LL5,18.04,44.72,716,1.45E+04,live (cm2015-08-24.019)
UL5,P1\P2\UL5,0,0,0,0,live (cm2015-08-24.019)
UR5,P1\P2\UR5,0.08,0.19,3,60.7,live (cm2015-08-24.019)
LR5,P1\P2\LR5,22.22,55.09,882,1.78E+04,live (cm2015-08-24.019)
cm2015-08-24.018,cm2015-08-24.018,100,---,2454,4.92E+04,cm2015-08-24.018
P1,P1,66.59,66.59,1634,3.27E+04,cm2015-08-24.018
P2,P1\P2,65.65,98.59,1611,3.23E+04,cm2015-08-24.018
LL3,P1\P2\LL3,2.36,3.6,58,1.16E+03,cm2015-08-24.018
UL3,P1\P2\UL3,35.66,54.31,875,1.75E+04,cm2015-08-24.018
UR3,P1\P2\UR3,0.04,0.06,1,20,cm2015-08-24.018
LR3,P1\P2\LR3,27.59,42.02,677,1.36E+04,cm2015-08-24.018
LL4,P1\P2\LL4,30.03,45.75,737,1.48E+04,cm2015-08-24.018
UL4,P1\P2\UL4,35.62,54.25,874,1.75E+04,cm2015-08-24.018
UR4,P1\P2\UR4,0,0,0,0,cm2015-08-24.018
LR4,P1\P2\LR4,0,0,0,0,cm2015-08-24.018
LL5,P1\P2\LL5,29.79,45.38,731,1.47E+04,cm2015-08-24.018
UL5,P1\P2\UL5,0,0,0,0,cm2015-08-24.018
UR5,P1\P2\UR5,0.04,0.06,1,20,cm2015-08-24.018
LR5,P1\P2\LR5,35.82,54.56,879,1.76E+04,cm2015-08-24.018
cm2015-08-24.017,cm2015-08-24.017,100,---,2115,4.24E+04,cm2015-08-24.017
P1,P1,79.43,79.43,1680,3.37E+04,cm2015-08-24.017
P2,P1\P2,78.72,99.11,1665,3.34E+04,cm2015-08-24.017
LL3,P1\P2\LL3,2.51,3.18,53,1.06E+03,cm2015-08-24.017
UL3,P1\P2\UL3,40.9,51.95,865,1.73E+04,cm2015-08-24.017
UR3,P1\P2\UR3,0,0,0,0,cm2015-08-24.017
LR3,P1\P2\LR3,35.32,44.86,747,1.50E+04,cm2015-08-24.017
LL4,P1\P2\LL4,37.83,48.05,800,1.60E+04,cm2015-08-24.017
UL4,P1\P2\UL4,40.9,51.95,865,1.73E+04,cm2015-08-24.017
UR4,P1\P2\UR4,0,0,0,0,cm2015-08-24.017
LR4,P1\P2\LR4,0,0,0,0,cm2015-08-24.017
LL5,P1\P2\LL5,37.73,47.93,798,1.60E+04,cm2015-08-24.017
UL5,P1\P2\UL5,0,0,0,0,cm2015-08-24.017
UR5,P1\P2\UR5,0.05,0.06,1,20,cm2015-08-24.017
LR5,P1\P2\LR5,40.95,52.01,866,1.74E+04,cm2015-08-24.017
cm2015-08-24.016,cm2015-08-24.016,100,---,2311,4.69E+04,cm2015-08-24.016
P1,P1,77.67,77.67,1795,3.64E+04,cm2015-08-24.016
P2,P1\P2,77.07,99.22,1781,3.61E+04,cm2015-08-24.016
LL3,P1\P2\LL3,3.38,4.38,78,1.58E+03,cm2015-08-24.016
UL3,P1\P2\UL3,40.37,52.39,933,1.89E+04,cm2015-08-24.016
UR3,P1\P2\UR3,0.04,0.06,1,20.3,cm2015-08-24.016
LR3,P1\P2\LR3,33.28,43.18,769,1.56E+04,cm2015-08-24.016
LL4,P1\P2\LL4,36.74,47.67,849,1.72E+04,cm2015-08-24.016
UL4,P1\P2\UL4,40.33,52.33,932,1.89E+04,cm2015-08-24.016
UR4,P1\P2\UR4,0,0,0,0,cm2015-08-24.016
LR4,P1\P2\LR4,0,0,0,0,cm2015-08-24.016
LL5,P1\P2\LL5,36.56,47.45,845,1.72E+04,cm2015-08-24.016
UL5,P1\P2\UL5,0,0,0,0,cm2015-08-24.016
UR5,P1\P2\UR5,0.04,0.06,1,20.3,cm2015-08-24.016
LR5,P1\P2\LR5,40.46,52.5,935,1.90E+04,cm2015-08-24.016
cm2015-08-24.015,cm2015-08-24.015,100,---,2229,4.52E+04,cm2015-08-24.015
P1,P1,76.13,76.13,1697,3.44E+04,cm2015-08-24.015
P2,P1\P2,75.59,99.29,1685,3.42E+04,cm2015-08-24.015
LL3,P1\P2\LL3,1.93,2.55,43,873,cm2015-08-24.015
UL3,P1\P2\UL3,41.36,54.72,922,1.87E+04,cm2015-08-24.015
UR3,P1\P2\UR3,0,0,0,0,cm2015-08-24.015
LR3,P1\P2\LR3,32.3,42.73,720,1.46E+04,cm2015-08-24.015
LL4,P1\P2\LL4,34.23,45.28,763,1.55E+04,cm2015-08-24.015
UL4,P1\P2\UL4,41.36,54.72,922,1.87E+04,cm2015-08-24.015
UR4,P1\P2\UR4,0,0,0,0,cm2015-08-24.015
LR4,P1\P2\LR4,0,0,0,0,cm2015-08-24.015
LL5,P1\P2\LL5,34.1,45.1,760,1.54E+04,cm2015-08-24.015
UL5,P1\P2\UL5,0,0,0,0,cm2015-08-24.015
UR5,P1\P2\UR5,0.13,0.18,3,60.9,cm2015-08-24.015
LR5,P1\P2\LR5,41.36,54.72,922,1.87E+04,cm2015-08-24.015
cm2015-08-24.014,cm2015-08-24.014,100,---,1895,3.93E+04,cm2015-08-24.014
P1,P1,99.79,99.79,1891,3.92E+04,cm2015-08-24.014
P2,P1\P2,99.1,99.31,1878,3.90E+04,cm2015-08-24.014
LL3,P1\P2\LL3,2.11,2.13,40,830,cm2015-08-24.014
UL3,P1\P2\UL3,54.04,54.53,1024,2.12E+04,cm2015-08-24.014
UR3,P1\P2\UR3,0.05,0.05,1,20.7,cm2015-08-24.014
LR3,P1\P2\LR3,42.9,43.29,813,1.69E+04,cm2015-08-24.014
LL4,P1\P2\LL4,45.01,45.42,853,1.77E+04,cm2015-08-24.014
UL4,P1\P2\UL4,54.09,54.58,1025,2.13E+04,cm2015-08-24.014
UR4,P1\P2\UR4,0,0,0,0,cm2015-08-24.014
LR4,P1\P2\LR4,0,0,0,0,cm2015-08-24.014
LL5,P1\P2\LL5,44.85,45.26,850,1.76E+04,cm2015-08-24.014
UL5,P1\P2\UL5,0.05,0.05,1,20.7,cm2015-08-24.014
UR5,P1\P2\UR5,0.05,0.05,1,20.7,cm2015-08-24.014
LR5,P1\P2\LR5,54.14,54.63,1026,2.13E+04,cm2015-08-24.014
cm2015-08-24.013,cm2015-08-24.013,100,---,2106,4.27E+04,cm2015-08-24.013
P1,P1,73.12,73.12,1540,3.13E+04,cm2015-08-24.013
P2,P1\P2,71.65,97.99,1509,3.06E+04,cm2015-08-24.013
LL3,P1\P2\LL3,6.17,8.61,130,2.64E+03,cm2015-08-24.013
UL3,P1\P2\UL3,33.52,46.79,706,1.43E+04,cm2015-08-24.013
UR3,P1\P2\UR3,0.24,0.33,5,101,cm2015-08-24.013
LR3,P1\P2\LR3,31.72,44.27,668,1.36E+04,cm2015-08-24.013
LL4,P1\P2\LL4,38.13,53.21,803,1.63E+04,cm2015-08-24.013
UL4,P1\P2\UL4,33.52,46.79,706,1.43E+04,cm2015-08-24.013
UR4,P1\P2\UR4,0,0,0,0,cm2015-08-24.013
LR4,P1\P2\LR4,0,0,0,0,cm2015-08-24.013
LL5,P1\P2\LL5,37.75,52.68,795,1.61E+04,cm2015-08-24.013
UL5,P1\P2\UL5,0,0,0,0,cm2015-08-24.013
UR5,P1\P2\UR5,0.14,0.2,3,60.9,cm2015-08-24.013
LR5,P1\P2\LR5,33.76,47.12,711,1.44E+04,cm2015-08-24.013
cm2015-08-24.012,cm2015-08-24.012,100,---,2098,4.21E+04,cm2015-08-24.012
P1,P1,74.17,74.17,1556,3.12E+04,cm2015-08-24.012
P2,P1\P2,73.36,98.91,1539,3.09E+04,cm2015-08-24.012
LL3,P1\P2\LL3,4.39,5.98,92,1.85E+03,cm2015-08-24.012
UL3,P1\P2\UL3,35.41,48.28,743,1.49E+04,cm2015-08-24.012
UR3,P1\P2\UR3,0.05,0.06,1,20.1,cm2015-08-24.012
LR3,P1\P2\LR3,33.51,45.68,703,1.41E+04,cm2015-08-24.012
LL4,P1\P2\LL4,37.94,51.72,796,1.60E+04,cm2015-08-24.012
UL4,P1\P2\UL4,35.41,48.28,743,1.49E+04,cm2015-08-24.012
UR4,P1\P2\UR4,0,0,0,0,cm2015-08-24.012
LR4,P1\P2\LR4,0,0,0,0,cm2015-08-24.012
LL5,P1\P2\LL5,37.65,51.33,790,1.59E+04,cm2015-08-24.012
UL5,P1\P2\UL5,0,0,0,0,cm2015-08-24.012
UR5,P1\P2\UR5,0.19,0.26,4,80.3,cm2015-08-24.012
LR5,P1\P2\LR5,35.51,48.41,745,1.50E+04,cm2015-08-24.012
cm2015-08-24.011,cm2015-08-24.011,100,---,2294,4.60E+04,cm2015-08-24.011
P1,P1,69.92,69.92,1604,3.21E+04,cm2015-08-24.011
P2,P1\P2,68.79,98.38,1578,3.16E+04,cm2015-08-24.011
LL3,P1\P2\LL3,4.58,6.65,105,2.10E+03,cm2015-08-24.011
UL3,P1\P2\UL3,32.13,46.7,737,1.48E+04,cm2015-08-24.011
UR3,P1\P2\UR3,0.04,0.06,1,20,cm2015-08-24.011
LR3,P1\P2\LR3,32.04,46.58,735,1.47E+04,cm2015-08-24.011
LL4,P1\P2\LL4,36.7,53.36,842,1.69E+04,cm2015-08-24.011
UL4,P1\P2\UL4,32.08,46.64,736,1.48E+04,cm2015-08-24.011
UR4,P1\P2\UR4,0,0,0,0,cm2015-08-24.011
LR4,P1\P2\LR4,0,0,0,0,cm2015-08-24.011
LL5,P1\P2\LL5,36.53,53.11,838,1.68E+04,cm2015-08-24.011
UL5,P1\P2\UL5,0,0,0,0,cm2015-08-24.011
UR5,P1\P2\UR5,0.09,0.13,2,40.1,cm2015-08-24.011
