file,group,group_name,estradiol,media
cm2015-08-24.002,A,mCherry-vs-GFP,1,SC
cm2015-08-24.003,A,mCherry-vs-GFP,1,SC-ura
cm2015-08-24.004,A,mCherry-vs-GFP,1,SC+5FOA
cm2015-08-24.005,A,mCherry-vs-GFP,0,SC
cm2015-08-24.006,A,mCherry-vs-GFP,0,SC-ura
cm2015-08-24.007,A,mCherry-vs-GFP,0,SC+5FOA
cm2015-08-24.008,B,vs-ura3,1,SC
cm2015-08-24.009,B,vs-ura3,1,SC-ura
cm2015-08-24.010,B,vs-ura3,1,SC+5FOA
cm2015-08-24.011,B,vs-ura3,0,SC
cm2015-08-24.012,B,vs-ura3,0,SC-ura
cm2015-08-24.013,B,vs-ura3,0,SC+5FOA
cm2015-08-24.014,C,vs-URA3,1,SC
cm2015-08-24.015,C,vs-URA3,1,SC-ura
cm2015-08-24.016,C,vs-URA3,1,SC+5FOA
cm2015-08-24.017,C,vs-URA3,0,SC
cm2015-08-24.018,C,vs-URA3,0,SC-ura
live (cm2015-08-24.019),C,vs-URA3,0,SC+5FOA
