"","Name","Path","X..T","X...","Count","Count.mL","file"
"1","live (cm2015-08-25.024)","live (cm2015-08-25.024)",100,"---",1687,34000,"live (cm2015-08-25.024)"
"16","cm2015-08-25.023","cm2015-08-25.023",100,"---",5447,114000,"cm2015-08-25.023"
"31","cm2015-08-25.022","cm2015-08-25.022",100,"---",20000,1650000,"cm2015-08-25.022"
"46","cm2015-08-25.021","cm2015-08-25.021",100,"---",20000,4660000,"cm2015-08-25.021"
"61","cm2015-08-25.020","cm2015-08-25.020",100,"---",20000,4140000,"cm2015-08-25.020"
"76","cm2015-08-25.019","cm2015-08-25.019",100,"---",557,11700,"cm2015-08-25.019"
"91","cm2015-08-25.018","cm2015-08-25.018",100,"---",20000,5080000,"cm2015-08-25.018"
"106","cm2015-08-25.017","cm2015-08-25.017",100,"---",20000,5820000,"cm2015-08-25.017"
"121","cm2015-08-25.016","cm2015-08-25.016",100,"---",3763,76400,"cm2015-08-25.016"
"136","cm2015-08-25.015","cm2015-08-25.015",100,"---",2690,53900,"cm2015-08-25.015"
"151","cm2015-08-25.014","cm2015-08-25.014",100,"---",20000,3740000,"cm2015-08-25.014"
"166","cm2015-08-25.013","cm2015-08-25.013",100,"---",526,10900,"cm2015-08-25.013"
"181","cm2015-08-25.012","cm2015-08-25.012",100,"---",20000,1870000,"cm2015-08-25.012"
"196","cm2015-08-25.011","cm2015-08-25.011",100,"---",20000,2550000,"cm2015-08-25.011"
"211","cm2015-08-25.010","cm2015-08-25.010",100,"---",20000,3290000,"cm2015-08-25.010"
"226","cm2015-08-25.009","cm2015-08-25.009",100,"---",20000,2870000,"cm2015-08-25.009"
"241","cm2015-08-25.008","cm2015-08-25.008",100,"---",2855,57900,"cm2015-08-25.008"
"256","cm2015-08-25.007","cm2015-08-25.007",100,"---",2763,56100,"cm2015-08-25.007"
"271","cm2015-08-25.006","cm2015-08-25.006",100,"---",20000,1600000,"cm2015-08-25.006"
"286","cm2015-08-25.005","cm2015-08-25.005",100,"---",528,13100,"cm2015-08-25.005"
"301","cm2015-08-25.004","cm2015-08-25.004",100,"---",20000,1420000,"cm2015-08-25.004"
"316","cm2015-08-25.003","cm2015-08-25.003",100,"---",587,13600,"cm2015-08-25.003"
"331","cm2015-08-25.002","cm2015-08-25.002",100,"---",20000,3290000,"cm2015-08-25.002"
"346","cm2015-08-25.001","cm2015-08-25.001",100,"---",20000,3430000,"cm2015-08-25.001"
