file,group,group_name,estradiol,media
cm2015-08-25.001,A,mCherry-vs-GFP,1,SC
cm2015-08-25.002,A,mCherry-vs-GFP,1,SC-ura
cm2015-08-25.003,A,mCherry-vs-GFP,1,SC+5FOA
cm2015-08-25.004,A,mCherry-vs-GFP,0,SC
cm2015-08-25.005,A,mCherry-vs-GFP,0,SC-ura
cm2015-08-25.006,A,mCherry-vs-GFP,0,SC+5FOA
cm2015-08-25.009,B,vs-ura3,1,SC
cm2015-08-25.010,B,vs-ura3,1,SC-ura
cm2015-08-25.011,B,vs-ura3,1,SC+5FOA
cm2015-08-25.012,B,vs-ura3,0,SC
cm2015-08-25.013,B,vs-ura3,0,SC-ura
cm2015-08-25.014,B,vs-ura3,0,SC+5FOA
cm2015-08-25.017,C,vs-URA3,1,SC
cm2015-08-25.018,C,vs-URA3,1,SC-ura
cm2015-08-25.019,C,vs-URA3,1,SC+5FOA
cm2015-08-25.020,C,vs-URA3,0,SC
cm2015-08-25.021,C,vs-URA3,0,SC-ura
cm2015-08-25.022,C,vs-URA3,0,SC+5FOA
