Name,Path,Full path,%-T,%-#,Count,Count/mL,file
live (cm2015-08-26.025),live (cm2015-08-26.025),live (cm2015-08-26.025),100,---,2747,3.73E+04,live (cm2015-08-26.025)
P1,P1,live (cm2015-08-26.025)\P1,99.67,99.67,2738,3.72E+04,live (cm2015-08-26.025)
P2,P1\P2,live (cm2015-08-26.025)\P1\P2,98.8,99.12,2714,3.69E+04,live (cm2015-08-26.025)
LL3,P1\P2\LL3,live (cm2015-08-26.025)\P1\P2\LL3,0,0,0,0,live (cm2015-08-26.025)
UL3,P1\P2\UL3,live (cm2015-08-26.025)\P1\P2\UL3,98.8,100,2714,3.69E+04,live (cm2015-08-26.025)
UR3,P1\P2\UR3,live (cm2015-08-26.025)\P1\P2\UR3,0,0,0,0,live (cm2015-08-26.025)
LR3,P1\P2\LR3,live (cm2015-08-26.025)\P1\P2\LR3,0,0,0,0,live (cm2015-08-26.025)
LL4,P1\P2\LL4,live (cm2015-08-26.025)\P1\P2\LL4,0,0,0,0,live (cm2015-08-26.025)
UL4,P1\P2\UL4,live (cm2015-08-26.025)\P1\P2\UL4,98.8,100,2714,3.69E+04,live (cm2015-08-26.025)
UR4,P1\P2\UR4,live (cm2015-08-26.025)\P1\P2\UR4,0,0,0,0,live (cm2015-08-26.025)
LR4,P1\P2\LR4,live (cm2015-08-26.025)\P1\P2\LR4,0,0,0,0,live (cm2015-08-26.025)
LL5,P1\P2\LL5,live (cm2015-08-26.025)\P1\P2\LL5,0,0,0,0,live (cm2015-08-26.025)
UL5,P1\P2\UL5,live (cm2015-08-26.025)\P1\P2\UL5,0,0,0,0,live (cm2015-08-26.025)
UR5,P1\P2\UR5,live (cm2015-08-26.025)\P1\P2\UR5,0.04,0.04,1,13.6,live (cm2015-08-26.025)
LR5,P1\P2\LR5,live (cm2015-08-26.025)\P1\P2\LR5,98.76,99.96,2713,3.68E+04,live (cm2015-08-26.025)
cm2015-08-26.024,cm2015-08-26.024,cm2015-08-26.024,100,---,2667,3.61E+04,cm2015-08-26.024
P1,P1,cm2015-08-26.024\P1,99.74,99.74,2660,3.60E+04,cm2015-08-26.024
P2,P1\P2,cm2015-08-26.024\P1\P2,98.91,99.17,2638,3.57E+04,cm2015-08-26.024
LL3,P1\P2\LL3,cm2015-08-26.024\P1\P2\LL3,0,0,0,0,cm2015-08-26.024
UL3,P1\P2\UL3,cm2015-08-26.024\P1\P2\UL3,98.91,100,2638,3.57E+04,cm2015-08-26.024
UR3,P1\P2\UR3,cm2015-08-26.024\P1\P2\UR3,0,0,0,0,cm2015-08-26.024
LR3,P1\P2\LR3,cm2015-08-26.024\P1\P2\LR3,0,0,0,0,cm2015-08-26.024
LL4,P1\P2\LL4,cm2015-08-26.024\P1\P2\LL4,0,0,0,0,cm2015-08-26.024
UL4,P1\P2\UL4,cm2015-08-26.024\P1\P2\UL4,98.91,100,2638,3.57E+04,cm2015-08-26.024
UR4,P1\P2\UR4,cm2015-08-26.024\P1\P2\UR4,0,0,0,0,cm2015-08-26.024
LR4,P1\P2\LR4,cm2015-08-26.024\P1\P2\LR4,0,0,0,0,cm2015-08-26.024
LL5,P1\P2\LL5,cm2015-08-26.024\P1\P2\LL5,0,0,0,0,cm2015-08-26.024
UL5,P1\P2\UL5,cm2015-08-26.024\P1\P2\UL5,0,0,0,0,cm2015-08-26.024
UR5,P1\P2\UR5,cm2015-08-26.024\P1\P2\UR5,0.07,0.08,2,27.1,cm2015-08-26.024
LR5,P1\P2\LR5,cm2015-08-26.024\P1\P2\LR5,98.84,99.92,2636,3.57E+04,cm2015-08-26.024
cm2015-08-26.023,cm2015-08-26.023,cm2015-08-26.023,100,---,5864,7.83E+04,cm2015-08-26.023
P1,P1,cm2015-08-26.023\P1,99.64,99.64,5843,7.80E+04,cm2015-08-26.023
P2,P1\P2,cm2015-08-26.023\P1\P2,97.8,98.15,5735,7.66E+04,cm2015-08-26.023
