"","Name","Path","Full.path","X..T","X...","Count","Count.mL","file"
"1","live (cm2015-08-26.025)","live (cm2015-08-26.025)","live (cm2015-08-26.025)",100,"---",2747,37300,"live (cm2015-08-26.025)"
"16","cm2015-08-26.024","cm2015-08-26.024","cm2015-08-26.024",100,"---",2667,36100,"cm2015-08-26.024"
"31","cm2015-08-26.023","cm2015-08-26.023","cm2015-08-26.023",100,"---",5864,78300,"cm2015-08-26.023"
"46","cm2015-08-26.022","cm2015-08-26.022","cm2015-08-26.022",100,"---",5786,78800,"cm2015-08-26.022"
"61","cm2015-08-26.021","cm2015-08-26.021","cm2015-08-26.021",100,"---",5062,69200,"cm2015-08-26.021"
"76","cm2015-08-26.020","cm2015-08-26.020","cm2015-08-26.020",100,"---",5762,76900,"cm2015-08-26.020"
"91","cm2015-08-26.019","cm2015-08-26.019","cm2015-08-26.019",100,"---",4587,62300,"cm2015-08-26.019"
"106","cm2015-08-26.018","cm2015-08-26.018","cm2015-08-26.018",100,"---",5016,67000,"cm2015-08-26.018"
"121","cm2015-08-26.017","cm2015-08-26.017","cm2015-08-26.017",100,"---",2613,35500,"cm2015-08-26.017"
"136","cm2015-08-26.016","cm2015-08-26.016","cm2015-08-26.016",100,"---",2665,36200,"cm2015-08-26.016"
"151","cm2015-08-26.015","cm2015-08-26.015","cm2015-08-26.015",100,"---",2586,35200,"cm2015-08-26.015"
"166","cm2015-08-26.014","cm2015-08-26.014","cm2015-08-26.014",100,"---",2596,35300,"cm2015-08-26.014"
"181","cm2015-08-26.013","cm2015-08-26.013","cm2015-08-26.013",100,"---",2132,29300,"cm2015-08-26.013"
"196","cm2015-08-26.012","cm2015-08-26.012","cm2015-08-26.012",100,"---",5172,70400,"cm2015-08-26.012"
"211","cm2015-08-26.011","cm2015-08-26.011","cm2015-08-26.011",100,"---",2623,35900,"cm2015-08-26.011"
"226","cm2015-08-26.010","cm2015-08-26.010","cm2015-08-26.010",100,"---",2954,39400,"cm2015-08-26.010"
"241","cm2015-08-26.009","cm2015-08-26.009","cm2015-08-26.009",100,"---",2454,33200,"cm2015-08-26.009"
"256","cm2015-08-26.008","cm2015-08-26.008","cm2015-08-26.008",100,"---",2326,31500,"cm2015-08-26.008"
"271","cm2015-08-26.007","cm2015-08-26.007","cm2015-08-26.007",100,"---",2356,32000,"cm2015-08-26.007"
"286","cm2015-08-26.006","cm2015-08-26.006","cm2015-08-26.006",100,"---",2677,36700,"cm2015-08-26.006"
"301","cm2015-08-26.005","cm2015-08-26.005","cm2015-08-26.005",100,"---",3222,43600,"cm2015-08-26.005"
"316","cm2015-08-26.004","cm2015-08-26.004","cm2015-08-26.004",100,"---",3065,41500,"cm2015-08-26.004"
"331","cm2015-08-26.003","cm2015-08-26.003","cm2015-08-26.003",100,"---",2674,36300,"cm2015-08-26.003"
"346","cm2015-08-26.002","cm2015-08-26.002","cm2015-08-26.002",100,"---",2558,34900,"cm2015-08-26.002"
