Path,%-T,%-#
live (cm2015-08-27.030),100,---
P1,99.78,99.78
P1\P2,95.3,95.51
P1\P2\LL3,0,0
P1\P2\UL3,95.29,99.99
P1\P2\UR3,0.01,0.01
P1\P2\LR3,0,0
P1\P2\LL4,0,0
P1\P2\UL4,95.3,100
P1\P2\UR4,0,0
P1\P2\LR4,0,0
P1\P2\LL5,0,0
P1\P2\UL5,0,0
P1\P2\UR5,0,0
P1\P2\LR5,95.3,100
cm2015-08-27.029,100,---
P1,99.62,99.62
P1\P2,98.95,99.33
P1\P2\LL3,0.2,0.2
P1\P2\UL3,98.02,99.05
P1\P2\UR3,0,0
P1\P2\LR3,0.74,0.74
P1\P2\LL4,0.94,0.95
P1\P2\UL4,98.02,99.05
P1\P2\UR4,0,0
P1\P2\LR4,0,0
P1\P2\LL5,0.91,0.92
P1\P2\UL5,0,0
P1\P2\UR5,0,0
P1\P2\LR5,98.04,99.08
cm2015-08-27.028,100,---
P1,99.89,99.89
P1\P2,98.78,98.89
P1\P2\LL3,0.01,0.02
P1\P2\UL3,98.11,99.32
P1\P2\UR3,0,0
P1\P2\LR3,0.66,0.66
P1\P2\LL4,0.67,0.68
P1\P2\UL4,98.11,99.32
P1\P2\UR4,0,0
P1\P2\LR4,0,0
P1\P2\LL5,0.66,0.66
P1\P2\UL5,0,0
P1\P2\UR5,0,0
P1\P2\LR5,98.12,99.34
cm2015-08-27.027,100,---
P1,99.83,99.83
P1\P2,97.61,97.77
P1\P2\LL3,0,0
P1\P2\UL3,97.6,99.99
P1\P2\UR3,0.01,0.01
P1\P2\LR3,0,0
P1\P2\LL4,0,0
P1\P2\UL4,97.61,100
P1\P2\UR4,0,0
P1\P2\LR4,0,0
P1\P2\LL5,0,0
P1\P2\UL5,0,0
P1\P2\UR5,0.01,0.01
P1\P2\LR5,97.6,99.99
cm2015-08-27.026,100,---
P1,99.75,99.75
P1\P2,95.8,96.04
P1\P2\LL3,0.1,0.11
P1\P2\UL3,53.56,55.91
P1\P2\UR3,0.52,0.54
P1\P2\LR3,41.61,43.43
P1\P2\LL4,41.84,43.67
P1\P2\UL4,53.96,56.33
P1\P2\UR4,0,0
P1\P2\LR4,0,0
P1\P2\LL5,41.57,43.39
P1\P2\UL5,0,0
P1\P2\UR5,0.01,0.01
P1\P2\LR5,54.23,56.61
cm2015-08-27.025,100,---
P1,99.85,99.85
P1\P2,97.54,97.69
P1\P2\LL3,0.03,0.03
P1\P2\UL3,52.85,54.19
P1\P2\UR3,0.24,0.25
P1\P2\LR3,44.41,45.54
P1\P2\LL4,44.51,45.63
P1\P2\UL4,53.03,54.37
P1\P2\UR4,0,0
P1\P2\LR4,0,0
P1\P2\LL5,44.42,45.54
P1\P2\UL5,0,0
P1\P2\UR5,0,0
P1\P2\LR5,53.12,54.46
cm2015-08-27.024,100,---
P1,99.76,99.76
P1\P2,89.14,89.36
P1\P2\LL3,0,0
P1\P2\UL3,89.14,100
P1\P2\UR3,0,0
P1\P2\LR3,0,0
P1\P2\LL4,0,0
P1\P2\UL4,89.14,100
P1\P2\UR4,0,0
P1\P2\LR4,0,0
P1\P2\LL5,0,0
P1\P2\UL5,0,0
P1\P2\UR5,0.01,0.01
P1\P2\LR5,89.13,99.99
cm2015-08-27.023,100,---
P1,83.33,83.33
P1\P2,83.33,100
P1\P2\LL3,0,0
P1\P2\UL3,83.33,100
P1\P2\UR3,0,0
P1\P2\LR3,0,0
P1\P2\LL4,0,0
P1\P2\UL4,83.33,100
P1\P2\UR4,0,0
P1\P2\LR4,0,0
P1\P2\LL5,0,0
P1\P2\UL5,0,0
P1\P2\UR5,0,0
P1\P2\LR5,83.33,100
cm2015-08-27.022,100,---
P1,99.74,99.74
P1\P2,97.94,98.19
P1\P2\LL3,0.1,0.1
P1\P2\UL3,97.5,99.56
P1\P2\UR3,0.01,0.02
P1\P2\LR3,0.32,0.32
P1\P2\LL4,0.43,0.43
P1\P2\UL4,97.51,99.57
P1\P2\UR4,0,0
P1\P2\LR4,0,0
P1\P2\LL5,0.41,0.42
P1\P2\UL5,0,0
P1\P2\UR5,0,0
P1\P2\LR5,97.52,99.58
cm2015-08-27.021,100,---
P1,90,90
P1\P2,87.5,97.22
P1\P2\LL3,45,51.43
P1\P2\UL3,12.5,14.29
P1\P2\UR3,0,0
P1\P2\LR3,30,34.29
P1\P2\LL4,75,85.71
P1\P2\UL4,12.5,14.29
P1\P2\UR4,0,0
P1\P2\LR4,0,0
P1\P2\LL5,75,85.71
P1\P2\UL5,0,0
P1\P2\UR5,0,0
P1\P2\LR5,12.5,14.29
cm2015-08-27.020,100,---
P1,99.85,99.85
P1\P2,96.97,97.12
P1\P2\LL3,0.04,0.04
P1\P2\UL3,96.77,99.79
P1\P2\UR3,0,0
P1\P2\LR3,0.17,0.17
P1\P2\LL4,0.21,0.21
P1\P2\UL4,96.77,99.79
P1\P2\UR4,0,0
P1\P2\LR4,0,0
P1\P2\LL5,0.18,0.19
P1\P2\UL5,0,0
P1\P2\UR5,0,0
P1\P2\LR5,96.79,99.81
cm2015-08-27.019,100,---
P1,80.39,80.39
P1\P2,78.92,98.17
P1\P2\LL3,12.25,15.53
P1\P2\UL3,11.76,14.91
P1\P2\UR3,0,0
P1\P2\LR3,54.9,69.57
P1\P2\LL4,67.16,85.09
P1\P2\UL4,11.76,14.91
P1\P2\UR4,0,0
P1\P2\LR4,0,0
P1\P2\LL5,65.69,83.23
P1\P2\UL5,0,0
P1\P2\UR5,0,0
