Path,%-T,%-#,ID,group,group2,gate
cm2015-08-27.025,100,---,25,mCherry-vs-GFP,SC-ura first,
P1,99.85,99.85,25,mCherry-vs-GFP,SC-ura first,
P1\P2,97.54,97.69,25,mCherry-vs-GFP,SC-ura first,
P1\P2\LL3,0.03,0.03,25,mCherry-vs-GFP,SC-ura first,unstained
P1\P2\UL3,52.85,54.19,25,mCherry-vs-GFP,SC-ura first,mCherry
P1\P2\UR3,0.24,0.25,25,mCherry-vs-GFP,SC-ura first,double
P1\P2\LR3,44.41,45.54,25,mCherry-vs-GFP,SC-ura first,GFP
P1\P2\LL4,44.51,45.63,25,mCherry-vs-GFP,SC-ura first,
P1\P2\UL4,53.03,54.37,25,mCherry-vs-GFP,SC-ura first,
P1\P2\UR4,0,0,25,mCherry-vs-GFP,SC-ura first,
P1\P2\LR4,0,0,25,mCherry-vs-GFP,SC-ura first,
P1\P2\LL5,44.42,45.54,25,mCherry-vs-GFP,SC-ura first,
P1\P2\UL5,0,0,25,mCherry-vs-GFP,SC-ura first,
P1\P2\UR5,0,0,25,mCherry-vs-GFP,SC-ura first,
P1\P2\LR5,53.12,54.46,25,mCherry-vs-GFP,SC-ura first,
cm2015-08-27.026,100,---,26,mCherry-vs-GFP,SC+5FOA first,
P1,99.75,99.75,26,mCherry-vs-GFP,SC+5FOA first,
P1\P2,95.8,96.04,26,mCherry-vs-GFP,SC+5FOA first,
P1\P2\LL3,0.1,0.11,26,mCherry-vs-GFP,SC+5FOA first,unstained
P1\P2\UL3,53.56,55.91,26,mCherry-vs-GFP,SC+5FOA first,mCherry
P1\P2\UR3,0.52,0.54,26,mCherry-vs-GFP,SC+5FOA first,double
P1\P2\LR3,41.61,43.43,26,mCherry-vs-GFP,SC+5FOA first,GFP
P1\P2\LL4,41.84,43.67,26,mCherry-vs-GFP,SC+5FOA first,
P1\P2\UL4,53.96,56.33,26,mCherry-vs-GFP,SC+5FOA first,
P1\P2\UR4,0,0,26,mCherry-vs-GFP,SC+5FOA first,
P1\P2\LR4,0,0,26,mCherry-vs-GFP,SC+5FOA first,
P1\P2\LL5,41.57,43.39,26,mCherry-vs-GFP,SC+5FOA first,
P1\P2\UL5,0,0,26,mCherry-vs-GFP,SC+5FOA first,
P1\P2\UR5,0.01,0.01,26,mCherry-vs-GFP,SC+5FOA first,
P1\P2\LR5,54.23,56.61,26,mCherry-vs-GFP,SC+5FOA first,
cm2015-08-27.027,100,---,27,vs-ura3,SC-ura first,
P1,99.83,99.83,27,vs-ura3,SC-ura first,
P1\P2,97.61,97.77,27,vs-ura3,SC-ura first,
P1\P2\LL3,0,0,27,vs-ura3,SC-ura first,unstained
P1\P2\UL3,97.6,99.99,27,vs-ura3,SC-ura first,mCherry
P1\P2\UR3,0.01,0.01,27,vs-ura3,SC-ura first,double
P1\P2\LR3,0,0,27,vs-ura3,SC-ura first,GFP
