Path,%-T,%-#,Count,Count/mL,Count/µL,file
live (cm2016-01-29.003),100.00,---,21363,1.12e6,"1,117.02",live (cm2016-01-29.003)
P1,99.83,99.83,21327,1.12e6,"1,115.14",live (cm2016-01-29.003)
P1\P2,97.61,97.78,20853,1.09e6,"1,090.35",live (cm2016-01-29.003)
P1\P2\unstained,20.23,20.73,4322,2.26e5,225.99,live (cm2016-01-29.003)
P1\P2\mCherry,52.09,53.37,11129,5.82e5,581.91,live (cm2016-01-29.003)
P1\P2\double-stained,0.12,0.12,25,1.31e3,1.31,live (cm2016-01-29.003)
P1\P2\GFP,25.17,25.79,5377,2.81e5,281.15,live (cm2016-01-29.003)
P1\P2\LL4,45.48,46.59,9715,5.08e5,507.97,live (cm2016-01-29.003)
P1\P2\UL4,52.14,53.41,11138,5.82e5,582.38,live (cm2016-01-29.003)
P1\P2\UR4,0.00,0.00,0,0,0.00,live (cm2016-01-29.003)
P1\P2\LR4,0.00,0.00,0,0,0.00,live (cm2016-01-29.003)
P1\P2\LL5,45.27,46.37,9670,5.06e5,505.62,live (cm2016-01-29.003)
P1\P2\UL5,0.00,0.00,0,0,0.00,live (cm2016-01-29.003)
P1\P2\UR5,0.01,0.01,3,157,0.16,live (cm2016-01-29.003)
P1\P2\LR5,52.33,53.61,11180,5.85e5,584.58,live (cm2016-01-29.003)
cm2016-01-29.002,100.00,---,64180,1.28e6,"1,284.14",cm2016-01-29.002
P1,99.75,99.75,64017,1.28e6,"1,280.88",cm2016-01-29.002
P1\P2,97.38,97.63,62500,1.25e6,"1,250.53",cm2016-01-29.002
P1\P2\unstained,20.63,21.18,13238,2.65e5,264.87,cm2016-01-29.002
P1\P2\mCherry,42.59,43.74,27335,5.47e5,546.93,cm2016-01-29.002
P1\P2\double-stained,0.14,0.15,92,1.84e3,1.84,cm2016-01-29.002
P1\P2\GFP,34.02,34.94,21835,4.37e5,436.88,cm2016-01-29.002
P1\P2\LL4,54.71,56.18,35110,7.02e5,702.50,cm2016-01-29.002
P1\P2\UL4,42.68,43.82,27390,5.48e5,548.03,cm2016-01-29.002
P1\P2\UR4,0.00,0.00,0,0,0.00,cm2016-01-29.002
P1\P2\LR4,0.00,0.00,0,0,0.00,cm2016-01-29.002
P1\P2\LL5,54.54,56.01,35006,7e5,700.41,cm2016-01-29.002
P1\P2\UL5,0.00,0.00,1,20,0.02,cm2016-01-29.002
P1\P2\UR5,0.01,0.01,5,100,0.10,cm2016-01-29.002
P1\P2\LR5,42.83,43.98,27488,5.5e5,549.99,cm2016-01-29.002
cm2016-01-29.001,100.00,---,32946,1.07e6,"1,067.08",cm2016-01-29.001
P1,99.75,99.75,32864,1.06e6,"1,064.42",cm2016-01-29.001
P1\P2,97.66,97.91,32176,1.04e6,"1,042.14",cm2016-01-29.001
P1\P2\unstained,17.25,17.66,5683,1.84e5,184.06,cm2016-01-29.001
P1\P2\mCherry,46.96,48.08,15470,5.01e5,501.05,cm2016-01-29.001
P1\P2\double-stained,0.12,0.12,38,1.23e3,1.23,cm2016-01-29.001
P1\P2\GFP,33.34,34.14,10985,3.56e5,355.79,cm2016-01-29.001
P1\P2\LL4,50.63,51.85,16682,5.4e5,540.31,cm2016-01-29.001
P1\P2\UL4,47.03,48.15,15493,5.02e5,501.80,cm2016-01-29.001
P1\P2\UR4,0.00,0.00,1,32.4,0.03,cm2016-01-29.001
P1\P2\LR4,0.00,0.00,0,0,0.00,cm2016-01-29.001
P1\P2\LL5,50.51,51.72,16640,5.39e5,538.95,cm2016-01-29.001
P1\P2\UL5,0.00,0.00,1,32.4,0.03,cm2016-01-29.001
P1\P2\UR5,0.01,0.01,2,64.8,0.06,cm2016-01-29.001
P1\P2\LR5,47.15,48.28,15533,5.03e5,503.09,cm2016-01-29.001
