Path,%-T,%-#,Count,Count/mL,Count/µL,file
live (cm2016-02-01.007),100.00,---,37642,3.77e5,376.89,live (cm2016-02-01.007)
P1,98.78,98.78,37182,3.72e5,372.28,live (cm2016-02-01.007)
P1\P2,96.64,97.84,36379,3.64e5,364.24,live (cm2016-02-01.007)
P1\P2\LL3,0.03,0.03,10,100,0.10,live (cm2016-02-01.007)
P1\P2\UL3,96.62,99.97,36369,3.64e5,364.14,live (cm2016-02-01.007)
P1\P2\UR3,0.00,0.00,0,0,0.00,live (cm2016-02-01.007)
P1\P2\LR3,0.00,0.00,0,0,0.00,live (cm2016-02-01.007)
P1\P2\LL4,0.06,0.06,22,220,0.22,live (cm2016-02-01.007)
P1\P2\UL4,96.58,99.94,36356,3.64e5,364.01,live (cm2016-02-01.007)
P1\P2\UR4,0.00,0.00,1,10,0.01,live (cm2016-02-01.007)
P1\P2\LR4,0.00,0.00,0,0,0.00,live (cm2016-02-01.007)
P1\P2\LL5,0.02,0.02,8,80.1,0.08,live (cm2016-02-01.007)
P1\P2\UL5,0.00,0.00,0,0,0.00,live (cm2016-02-01.007)
P1\P2\UR5,0.02,0.02,8,80.1,0.08,live (cm2016-02-01.007)
P1\P2\LR5,96.60,99.96,36363,3.64e5,364.08,live (cm2016-02-01.007)
cm2016-02-01.006,100.00,---,44190,4.42e5,442.08,cm2016-02-01.006
P1,99.46,99.46,43953,4.4e5,439.71,cm2016-02-01.006
P1\P2,97.98,98.51,43296,4.33e5,433.14,cm2016-02-01.006
P1\P2\LL3,13.86,14.14,6123,6.13e4,61.26,cm2016-02-01.006
P1\P2\UL3,12.97,13.24,5733,5.74e4,57.35,cm2016-02-01.006
P1\P2\UR3,0.03,0.03,12,120,0.12,cm2016-02-01.006
P1\P2\LR3,71.12,72.59,31428,3.14e5,314.41,cm2016-02-01.006
P1\P2\LL4,84.99,86.74,37557,3.76e5,375.72,cm2016-02-01.006
P1\P2\UL4,12.99,13.26,5739,5.74e4,57.41,cm2016-02-01.006
P1\P2\UR4,0.00,0.00,0,0,0.00,cm2016-02-01.006
P1\P2\LR4,0.00,0.00,0,0,0.00,cm2016-02-01.006
P1\P2\LL5,84.19,85.93,37203,3.72e5,372.18,cm2016-02-01.006
