Path,%-T,%-#,Count,Count/mL,Count/µL,file
cm2016-02-04.024,100.00,---,85662,8.58e5,857.51,cm2016-02-04.024
P1,99.24,99.24,85014,8.51e5,851.03,cm2016-02-04.024
P1\P2,96.16,96.89,82372,8.25e5,824.58,cm2016-02-04.024
P1\P2\LL3,39.30,40.87,33665,3.37e5,337.00,cm2016-02-04.024
P1\P2\UL3,9.92,10.31,8496,8.5e4,85.05,cm2016-02-04.024
P1\P2\UR3,0.06,0.06,53,531,0.53,cm2016-02-04.024
P1\P2\LR3,46.88,48.75,40158,4.02e5,402.00,cm2016-02-04.024
P1\P2\LL4,86.26,89.71,73895,7.4e5,739.72,cm2016-02-04.024
P1\P2\UL4,9.90,10.29,8477,8.49e4,84.86,cm2016-02-04.024
P1\P2\UR4,0.00,0.00,0,0,0.00,cm2016-02-04.024
P1\P2\LR4,0.00,0.00,0,0,0.00,cm2016-02-04.024
P1\P2\LL5,85.73,89.15,73437,7.35e5,735.13,cm2016-02-04.024
P1\P2\UL5,0.00,0.00,0,0,0.00,cm2016-02-04.024
P1\P2\UR5,0.00,0.00,0,0,0.00,cm2016-02-04.024
P1\P2\LR5,10.43,10.85,8935,8.94e4,89.44,cm2016-02-04.024
cm2016-02-04.023,100.00,---,38665,3.87e5,387.05,cm2016-02-04.023
P1,99.17,99.17,38343,3.84e5,383.83,cm2016-02-04.023
P1\P2,97.99,98.81,37886,3.79e5,379.25,cm2016-02-04.023
P1\P2\LL3,0.01,0.01,3,30,0.03,cm2016-02-04.023
P1\P2\UL3,97.97,99.99,37881,3.79e5,379.20,cm2016-02-04.023
P1\P2\UR3,0.00,0.00,1,10,0.01,cm2016-02-04.023
P1\P2\LR3,0.00,0.00,1,10,0.01,cm2016-02-04.023
P1\P2\LL4,0.08,0.08,29,290,0.29,cm2016-02-04.023
P1\P2\UL4,97.90,99.92,37854,3.79e5,378.93,cm2016-02-04.023
P1\P2\UR4,0.01,0.01,2,20,0.02,cm2016-02-04.023
P1\P2\LR4,0.00,0.00,1,10,0.01,cm2016-02-04.023
P1\P2\LL5,0.01,0.01,4,40,0.04,cm2016-02-04.023
P1\P2\UL5,0.00,0.00,0,0,0.00,cm2016-02-04.023
P1\P2\UR5,0.01,0.01,5,50.1,0.05,cm2016-02-04.023
P1\P2\LR5,97.96,99.98,37877,3.79e5,379.16,cm2016-02-04.023
cm2016-02-04.022,100.00,---,49936,4.99e5,498.95,cm2016-02-04.022
P1,99.53,99.53,49703,4.97e5,496.62,cm2016-02-04.022
P1\P2,98.06,98.52,48969,4.89e5,489.28,cm2016-02-04.022
P1\P2\LL3,8.21,8.37,4100,4.1e4,40.97,cm2016-02-04.022
P1\P2\UL3,46.44,47.36,23192,2.32e5,231.73,cm2016-02-04.022
P1\P2\UR3,0.14,0.14,71,709,0.71,cm2016-02-04.022
P1\P2\LR3,43.27,44.12,21606,2.16e5,215.88,cm2016-02-04.022
P1\P2\LL4,51.62,52.64,25775,2.58e5,257.54,cm2016-02-04.022
P1\P2\UL4,46.44,47.36,23191,2.32e5,231.72,cm2016-02-04.022
P1\P2\UR4,0.00,0.00,2,20,0.02,cm2016-02-04.022
P1\P2\LR4,0.00,0.00,1,9.99,0.01,cm2016-02-04.022
P1\P2\LL5,50.09,51.08,25013,2.5e5,249.92,cm2016-02-04.022
P1\P2\UL5,0.00,0.00,1,9.99,0.01,cm2016-02-04.022
P1\P2\UR5,0.01,0.01,4,40,0.04,cm2016-02-04.022
P1\P2\LR5,47.96,48.91,23951,2.39e5,239.31,cm2016-02-04.022
cm2016-02-04.021,100.00,---,39033,3.91e5,390.74,cm2016-02-04.021
P1,99.37,99.37,38787,3.88e5,388.27,cm2016-02-04.021
P1\P2,98.05,98.67,38273,3.83e5,383.13,cm2016-02-04.021
P1\P2\LL3,0.02,0.02,6,60.1,0.06,cm2016-02-04.021
P1\P2\UL3,98.04,99.98,38267,3.83e5,383.07,cm2016-02-04.021
P1\P2\UR3,0.00,0.00,0,0,0.00,cm2016-02-04.021
P1\P2\LR3,0.00,0.00,0,0,0.00,cm2016-02-04.021
P1\P2\LL4,0.04,0.04,17,170,0.17,cm2016-02-04.021
