Path,%-T,%-#,Count,Count/mL,Count/µL,file
cm2016-02-08.012,100.00,---,25861,2.59e5,258.88,cm2016-02-08.012
P1,98.26,98.26,25410,2.54e5,254.36,cm2016-02-08.012
P1\P2,94.22,95.89,24365,2.44e5,243.90,cm2016-02-08.012
P1\P2\LL3,0.14,0.15,36,360,0.36,cm2016-02-08.012
P1\P2\UL3,94.08,99.85,24329,2.44e5,243.54,cm2016-02-08.012
P1\P2\UR3,0.00,0.00,0,0,0.00,cm2016-02-08.012
P1\P2\LR3,0.00,0.00,0,0,0.00,cm2016-02-08.012
P1\P2\LL4,0.40,0.42,103,1.03e3,1.03,cm2016-02-08.012
P1\P2\UL4,93.81,99.57,24260,2.43e5,242.85,cm2016-02-08.012
P1\P2\UR4,0.00,0.00,0,0,0.00,cm2016-02-08.012
P1\P2\LR4,0.01,0.01,2,20,0.02,cm2016-02-08.012
P1\P2\LL5,0.06,0.07,16,160,0.16,cm2016-02-08.012
P1\P2\UL5,0.00,0.00,0,0,0.00,cm2016-02-08.012
P1\P2\UR5,0.02,0.02,5,50.1,0.05,cm2016-02-08.012
P1\P2\LR5,94.13,99.91,24344,2.44e5,243.69,cm2016-02-08.012
cm2016-02-08.011,100.00,---,35307,3.53e5,353.44,cm2016-02-08.011
P1,99.12,99.12,34995,3.5e5,350.31,cm2016-02-08.011
P1\P2,94.36,95.21,33317,3.34e5,333.52,cm2016-02-08.011
P1\P2\LL3,0.03,0.03,11,110,0.11,cm2016-02-08.011
P1\P2\UL3,94.33,99.97,33306,3.33e5,333.41,cm2016-02-08.011
P1\P2\UR3,0.00,0.00,0,0,0.00,cm2016-02-08.011
P1\P2\LR3,0.00,0.00,0,0,0.00,cm2016-02-08.011
P1\P2\LL4,0.08,0.09,29,290,0.29,cm2016-02-08.011
P1\P2\UL4,94.28,99.91,33287,3.33e5,333.22,cm2016-02-08.011
P1\P2\UR4,0.00,0.00,0,0,0.00,cm2016-02-08.011
P1\P2\LR4,0.00,0.00,1,10,0.01,cm2016-02-08.011
P1\P2\LL5,0.03,0.03,9,90.1,0.09,cm2016-02-08.011
P1\P2\UL5,0.00,0.00,0,0,0.00,cm2016-02-08.011
P1\P2\UR5,0.01,0.01,3,30,0.03,cm2016-02-08.011
P1\P2\LR5,94.33,99.96,33305,3.33e5,333.40,cm2016-02-08.011
cm2016-02-08.010,100.00,---,26481,2.65e5,265.09,cm2016-02-08.010
P1,99.12,99.12,26247,2.63e5,262.74,cm2016-02-08.010
P1\P2,95.35,96.20,25249,2.53e5,252.75,cm2016-02-08.010
P1\P2\LL3,1.02,1.07,270,2.7e3,2.70,cm2016-02-08.010
P1\P2\UL3,46.52,48.79,12319,1.23e5,123.32,cm2016-02-08.010
P1\P2\UR3,0.09,0.10,24,240,0.24,cm2016-02-08.010
P1\P2\LR3,47.72,50.05,12636,1.26e5,126.49,cm2016-02-08.010
P1\P2\LL4,48.81,51.19,12926,1.29e5,129.39,cm2016-02-08.010
P1\P2\UL4,46.53,48.80,12321,1.23e5,123.34,cm2016-02-08.010
P1\P2\UR4,0.00,0.00,0,0,0.00,cm2016-02-08.010
P1\P2\LR4,0.01,0.01,2,20,0.02,cm2016-02-08.010
P1\P2\LL5,48.57,50.94,12861,1.29e5,128.74,cm2016-02-08.010
P1\P2\UL5,0.00,0.00,1,10,0.01,cm2016-02-08.010
P1\P2\UR5,0.01,0.01,3,30,0.03,cm2016-02-08.010
P1\P2\LR5,46.77,49.05,12384,1.24e5,123.97,cm2016-02-08.010
cm2016-02-08.009,100.00,---,36674,3.67e5,367.12,cm2016-02-08.009
P1,98.77,98.77,36223,3.63e5,362.61,cm2016-02-08.009
P1\P2,95.59,96.78,35055,3.51e5,350.91,cm2016-02-08.009
P1\P2\LL3,0.03,0.03,12,120,0.12,cm2016-02-08.009
P1\P2\UL3,95.55,99.97,35043,3.51e5,350.79,cm2016-02-08.009
