Path,%-T,%-#,Count,Count/mL,Count/µL,file
cm2016-02-08.006,100.00,---,47106,4.72e5,471.55,cm2016-02-08.006
P1,98.89,98.89,46584,4.66e5,466.32,cm2016-02-08.006
P1\P2,94.99,96.05,44746,4.48e5,447.93,cm2016-02-08.006
P1\P2\LL3,0.03,0.03,14,140,0.14,cm2016-02-08.006
P1\P2\UL3,94.96,99.97,44732,4.48e5,447.79,cm2016-02-08.006
P1\P2\UR3,0.00,0.00,0,0,0.00,cm2016-02-08.006
P1\P2\LR3,0.00,0.00,0,0,0.00,cm2016-02-08.006
P1\P2\LL4,0.13,0.14,63,631,0.63,cm2016-02-08.006
P1\P2\UL4,94.86,99.86,44683,4.47e5,447.30,cm2016-02-08.006
P1\P2\UR4,0.00,0.00,0,0,0.00,cm2016-02-08.006
P1\P2\LR4,0.00,0.00,0,0,0.00,cm2016-02-08.006
P1\P2\LL5,0.02,0.02,8,80.1,0.08,cm2016-02-08.006
P1\P2\UL5,0.00,0.00,0,0,0.00,cm2016-02-08.006
P1\P2\UR5,0.01,0.01,3,30,0.03,cm2016-02-08.006
P1\P2\LR5,94.97,99.98,44735,4.48e5,447.82,cm2016-02-08.006
cm2016-02-08.005,100.00,---,38894,3.89e5,389.34,cm2016-02-08.005
P1,98.74,98.74,38405,3.84e5,384.45,cm2016-02-08.005
P1\P2,95.87,97.09,37287,3.73e5,373.26,cm2016-02-08.005
P1\P2\LL3,0.04,0.04,15,150,0.15,cm2016-02-08.005
P1\P2\UL3,95.83,99.96,37272,3.73e5,373.11,cm2016-02-08.005
P1\P2\UR3,0.00,0.00,0,0,0.00,cm2016-02-08.005
P1\P2\LR3,0.00,0.00,0,0,0.00,cm2016-02-08.005
P1\P2\LL4,0.18,0.19,70,701,0.70,cm2016-02-08.005
P1\P2\UL4,95.69,99.81,37216,3.73e5,372.55,cm2016-02-08.005
P1\P2\UR4,0.00,0.00,1,10,0.01,cm2016-02-08.005
P1\P2\LR4,0.00,0.00,0,0,0.00,cm2016-02-08.005
P1\P2\LL5,0.02,0.02,7,70.1,0.07,cm2016-02-08.005
P1\P2\UL5,0.00,0.00,0,0,0.00,cm2016-02-08.005
P1\P2\UR5,0.02,0.02,7,70.1,0.07,cm2016-02-08.005
P1\P2\LR5,95.83,99.96,37273,3.73e5,373.12,cm2016-02-08.005
cm2016-02-08.004,100.00,---,40643,4.07e5,406.85,cm2016-02-08.004
