file,replicate,epoch
2016-01-29_pilot-competition_epoch1_preselection_pheno.csv,pilot,1
2016-01-31_pilot-competition_epoch2_preselection_pheno.csv,pilot,2
2016-02-02_pilot-competition_epoch3_preselection_pheno.csv,pilot,3
2016-02-04_pilot-competition_epoch4_preselection_pheno.csv,pilot,4
2016-02-01_aborted-rep2_epoch2_preselection_pheno.csv,pilot2,2
2016-02-04_aborted-rep2_epoch3_preselection_pheno.csv,pilot2,3
2016-01-31_rep1-competition_epoch1_preselection_pheno.csv,rep1,1
2016-02-02_rep1-competition_epoch2_preselection_pheno.csv,rep1,2
2016-02-04_rep1-competition_epoch3_preselection_pheno.csv,rep1,3
2016-02-06_rep1-competition_epoch4_preselection_pheno.csv,rep1,4
2016-02-01_rep2-competition_epoch1_preselection_pheno.csv,rep2,1
2016-02-04_rep2-competition_epoch2_preselection_pheno.csv,rep2,2
2016-02-06_rep2-competition_epoch3_preselection_pheno.csv,rep2,3
2016-02-08_rep2-competition_epoch4_pheno.csv,rep2,4
2016-02-02_rep3-competition_epoch1_preselection_pheno.csv,rep3,1
2016-02-04_rep3-competition_epoch2_preselection_pheno.csv,rep3,2
2016-02-06_rep3-competition_epoch3_preselection_pheno.csv,rep3,3
2016-02-08_all_pheno.csv,rep3,4
